FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg01a1q_flt.fits,F125W,1,0.0,3,0,2014-04-11,08:42:18,88.435623,78336.1796875,194.705810547,0.593565940857,145.055496216,172.671691895,150.032806396,169.392181396,1.32543897629
icdg01zdq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:07:47,88.435623,77368.546875,201.144866943,0.873554229736,135.000976562,161.391616821,139.987503052,158.071090698,1.59733593464
icdg01zeq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:09:34,88.435623,78044.515625,198.371734619,0.765478134155,134.99899292,161.386123657,139.993743896,158.053131104,1.28609669209
icdg01zfq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:11:21,88.435623,78316.0078125,197.818145752,0.708275794983,134.997634888,161.383285522,139.975784302,158.05859375,1.52696108818
icdg01znq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:19:17,88.435623,78444.7890625,196.436279297,0.590929031372,145.120437622,161.323883057,150.046096802,158.000778198,1.39580559731
icdg01zpq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:21:04,88.435623,78482.0546875,201.485488892,0.597862243652,145.090667725,161.328979492,150.080474854,158.021087646,0.997443675995
icdg01zqq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:22:51,88.435623,78796.3125,198.112701416,0.560320854187,145.095291138,161.332244873,150.015625,158.003128052,1.00262713432
icdg01ztq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:29:01,88.435623,77816.4921875,192.710037231,0.686813354492,134.938690186,172.694961548,139.862503052,169.4296875,1.65653419495
icdg01zuq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:30:48,88.435623,78179.7578125,191.86819458,0.647494316101,134.936187744,172.694015503,139.909378052,169.4453125,1.23214697838
icdg01zvq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:32:35,88.435623,78338.2109375,188.15272522,0.618202209473,134.930175781,172.696777344,139.885940552,169.452346802,1.56662881374
icdg01zzq_flt.fits,F125W,1,0.0,3,8,2014-04-11,08:40:31,88.435623,78157.5,186.610488892,0.626714706421,145.052627563,172.664581299,150.018753052,169.399993896,1.3546038866
icdg02aeq_flt.fits,F125W,2,1.0,0,0,2014-04-11,09:43:25,88.435623,78826.2265625,198.681106567,0.852983474731,141.657821655,159.121566772,144.919525146,153.849212646,0.928709030151
icdg02afq_flt.fits,F125W,2,1.0,0,0,2014-04-11,09:45:12,88.435623,78940.5625,195.954116821,0.792965888977,141.656265259,159.117950439,144.909378052,153.831253052,0.814049065113
icdg02agq_flt.fits,F125W,2,1.0,0,0,2014-04-11,09:46:59,88.435623,78862.1640625,192.741317749,0.749620437622,141.652770996,159.118484497,144.89453125,153.848434448,0.850979268551
icdg02alq_flt.fits,F125W,2,1.0,1,2,2014-04-11,09:54:55,88.435623,78197.828125,196.49961853,0.684282302856,151.796936035,159.065582275,154.992965698,153.778121948,1.233761549
icdg02anq_flt.fits,F125W,2,1.0,1,2,2014-04-11,09:56:42,88.435623,78977.515625,197.477005005,0.633609771729,151.79397583,159.057128906,154.9609375,153.767181396,0.884350299835
icdg02aoq_flt.fits,F125W,2,1.0,1,2,2014-04-11,09:58:29,88.435623,78797.2421875,204.454956055,0.645378112793,151.786956787,159.057006836,154.985931396,153.771087646,0.837584733963
icdg02arq_flt.fits,F125W,2,1.0,2,4,2014-04-11,10:04:39,88.435623,79415.390625,203.815460205,0.621173858643,141.614456177,170.426147461,144.86328125,165.055465698,1.16289925575
