FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF
icdg01a1q_flt.fits,F125W,1,202.0,3,0,2014-04-11,08:42:18,88.435623,0.0,0.0
icdg01a2q_flt.fits,F160W,1,202.0,3,1,2014-04-11,08:44:11,88.435623,0.0,0.0
icdg01a3q_flt.fits,F160W,1,202.0,3,1,2014-04-11,08:45:58,88.435623,-0.0005035400390625,0.004638671875
icdg01zdq_flt.fits,F125W,1,202.0,0,2,2014-04-11,08:07:47,88.435623,-10.02825927734375,-11.3472900390625
icdg01zeq_flt.fits,F125W,1,202.0,0,2,2014-04-11,08:09:34,88.435623,-10.031051635742188,-11.346832275390625
icdg01zfq_flt.fits,F125W,1,202.0,0,2,2014-04-11,08:11:21,88.435623,-10.032913208007812,-11.350753784179688
icdg01zgq_flt.fits,F160W,1,202.0,0,3,2014-04-11,08:13:14,88.435623,-10.049591064453125,-11.293685913085938
icdg01ziq_flt.fits,F160W,1,202.0,0,3,2014-04-11,08:15:01,88.435623,-10.0478515625,-11.29193115234375
icdg01zjq_flt.fits,F160W,1,202.0,0,3,2014-04-11,08:16:48,88.435623,-10.057449340820312,-11.292526245117188
icdg01znq_flt.fits,F125W,1,202.0,1,4,2014-04-11,08:19:17,88.435623,0.05926513671875,-11.40869140625
icdg01zpq_flt.fits,F125W,1,202.0,1,4,2014-04-11,08:21:04,88.435623,0.0513153076171875,-11.417922973632812
icdg01zqq_flt.fits,F125W,1,202.0,1,4,2014-04-11,08:22:51,88.435623,0.05428314208984375,-11.398757934570312
icdg01zrq_flt.fits,F160W,1,202.0,1,5,2014-04-11,08:24:44,88.435623,0.0349884033203125,-11.338790893554688
icdg01zsq_flt.fits,F160W,1,202.0,1,5,2014-04-11,08:26:31,88.435623,0.02880859375,-11.357955932617188
icdg01ztq_flt.fits,F125W,1,202.0,2,6,2014-04-11,08:29:01,88.435623,-10.072463989257812,0.058258056640625
icdg01zuq_flt.fits,F125W,1,202.0,2,6,2014-04-11,08:30:48,88.435623,-10.0765380859375,0.03106689453125
icdg01zvq_flt.fits,F125W,1,202.0,2,6,2014-04-11,08:32:35,88.435623,-10.086380004882812,0.0487213134765625
icdg01zwq_flt.fits,F160W,1,202.0,2,7,2014-04-11,08:34:28,88.435623,-10.105194091796875,0.03195953369140625
icdg01zxq_flt.fits,F160W,1,202.0,2,7,2014-04-11,08:36:15,88.435623,-10.112640380859375,0.0352783203125
icdg01zyq_flt.fits,F160W,1,202.0,2,7,2014-04-11,08:38:02,88.435623,-10.109481811523438,0.03524017333984375
icdg01zzq_flt.fits,F125W,1,202.0,3,8,2014-04-11,08:40:31,88.435623,0.00225067138671875,0.01177978515625
icdg02aeq_flt.fits,F125W,2,227.0,0,0,2014-04-11,09:43:25,88.435623,-3.2777252197265625,-13.636795043945312
icdg02afq_flt.fits,F125W,2,227.0,0,0,2014-04-11,09:45:12,88.435623,-3.27691650390625,-13.63970947265625
icdg02agq_flt.fits,F125W,2,227.0,0,0,2014-04-11,09:46:59,88.435623,-3.2904205322265625,-13.64105224609375
