FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg01a1q_flt.fits,F125W,1,0.0,3,0,2014-04-11,08:42:18,88.435623,77213.421875,192.68148803710938,0.6052989959716797,145.0544891357422,172.67034912109375,149.9532470703125,169.38616943359375,1.076827049255371
icdg01zdq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:07:47,88.435623,76345.296875,199.52108764648438,0.8793125152587891,135.0010528564453,161.3916473388672,139.9002227783203,158.10598754882812,1.5842424631118774
icdg01zeq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:09:34,88.435623,77009.1875,196.77818298339844,0.7716121673583984,134.99827575683594,161.38671875,139.89744567871094,158.10104370117188,1.2896513938903809
icdg01zfq_flt.fits,F125W,1,0.0,0,2,2014-04-11,08:11:21,88.435623,77290.25,195.8285369873047,0.7131681442260742,134.99771118164062,161.3839874267578,139.8968963623047,158.09832763671875,1.5053280591964722
icdg01znq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:19:17,88.435623,77449.0703125,191.8258819580078,0.5926723480224609,145.12039184570312,161.32374572753906,150.0204315185547,158.03736877441406,1.3899437189102173
icdg01zpq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:21:04,88.435623,77449.0,197.7681121826172,0.6040573120117188,145.0906219482422,161.3287353515625,149.99066162109375,158.0423583984375,1.0191749334335327
icdg01zqq_flt.fits,F125W,1,0.0,1,4,2014-04-11,08:22:51,88.435623,77799.9375,193.35720825195312,0.5614891052246094,145.09523010253906,161.3320770263672,149.99526977539062,158.04568481445312,1.0121062994003296
icdg01ztq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:29:01,88.435623,76703.875,189.31639099121094,0.695857048034668,134.9383544921875,172.69483947753906,139.8362274169922,169.41139221191406,1.6819809675216675
icdg01zuq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:30:48,88.435623,77021.890625,191.0455780029297,0.6598854064941406,134.9365997314453,172.69439697265625,139.83447265625,169.4109344482422,1.2261874675750732
icdg01zvq_flt.fits,F125W,1,0.0,2,6,2014-04-11,08:32:35,88.435623,77187.015625,186.5867462158203,0.6297426223754883,134.92974853515625,172.6973876953125,139.82763671875,169.4139404296875,1.573056936264038
icdg01zzq_flt.fits,F125W,1,0.0,3,8,2014-04-11,08:40:31,88.435623,77041.5,184.56251525878906,0.6372661590576172,145.0515594482422,172.6638641357422,149.95030212402344,169.3796844482422,1.2554636001586914
icdg02aeq_flt.fits,F125W,2,1.0,0,0,2014-04-11,09:43:25,88.435623,77868.640625,192.49908447265625,0.8503255844116211,141.657958984375,159.12147521972656,144.8651580810547,153.83226013183594,0.9282475113868713
icdg02afq_flt.fits,F125W,2,1.0,0,0,2014-04-11,09:45:12,88.435623,77970.203125,190.3107452392578,0.7915010452270508,141.65623474121094,159.11874389648438,144.86343383789062,153.82949829101562,0.8108497858047485
icdg02agq_flt.fits,F125W,2,1.0,0,0,2014-04-11,09:46:59,88.435623,77898.875,186.9664764404297,0.7473955154418945,141.6527862548828,159.1184539794922,144.8599853515625,153.8292236328125,0.8533897995948792
icdg02alq_flt.fits,F125W,2,1.0,1,2,2014-04-11,09:54:55,88.435623,77230.984375,191.18231201171875,0.6839923858642578,151.79690551757812,159.06552124023438,155.00543212890625,153.77577209472656,1.2360680103302002
icdg02anq_flt.fits,F125W,2,1.0,1,2,2014-04-11,09:56:42,88.435623,77991.7890625,192.5233154296875,0.6342477798461914,151.7939453125,159.0570831298828,155.0024871826172,153.76734924316406,0.8888546824455261
icdg02aoq_flt.fits,F125W,2,1.0,1,2,2014-04-11,09:58:29,88.435623,77821.421875,199.01058959960938,0.6450471878051758,151.78680419921875,159.0577850341797,154.99534606933594,153.76803588867188,0.8345575928688049
icdg02arq_flt.fits,F125W,2,1.0,2,4,2014-04-11,10:04:39,88.435623,78356.765625,201.9214324951172,0.6256370544433594,141.6145477294922,170.4262237548828,144.8208770751953,165.14051818847656,1.162381887435913
icdg02asq_flt.fits,F125W,2,1.0,2,4,2014-04-11,10:06:26,88.435623,78427.828125,200.18798828125,0.6191310882568359,141.6140594482422,170.4303741455078,144.82040405273438,165.14466857910156,0.8612201809883118
icdg02atq_flt.fits,F125W,2,1.0,2,4,2014-04-11,10:08:13,88.435623,78495.8125,200.09811401367188,0.5990266799926758,141.602294921875,170.42288208007812,144.8086395263672,165.13717651367188,0.8857479691505432
icdg02axq_flt.fits,F125W,2,1.0,3,6,2014-04-11,10:16:09,88.435623,77111.9375,203.37042236328125,0.6279325485229492,151.73617553710938,170.38528442382812,154.94386291503906,165.09906005859375,1.1819199323654175
icdg02ayq_flt.fits,F125W,2,1.0,3,6,2014-04-11,10:17:56,88.435623,77406.765625,204.6421356201172,0.6178445816040039,151.73524475097656,170.3883819580078,154.94293212890625,165.10215759277344,1.0325219631195068
icdg03baq_flt.fits,F125W,3,0.0,0,0,2014-04-11,11:19:03,88.435623,77860.359375,196.34963989257812,0.8674259185791016,134.95079040527344,161.4344482421875,139.84996032714844,158.1488037109375,0.754920482635498
icdg03bbq_flt.fits,F125W,3,0.0,0,0,2014-04-11,11:20:50,88.435623,78109.2421875,195.63909912109375,0.7586441040039062,134.95025634765625,161.4303436279297,139.84942626953125,158.1446990966797,0.7032614946365356
icdg03bcq_flt.fits,F125W,3,0.0,0,0,2014-04-11,11:22:37,88.435623,78139.9375,199.3731231689453,0.7228460311889648,134.95065307617188,161.42654418945312,139.84982299804688,158.14089965820312,0.8223000168800354
icdg03bhq_flt.fits,F125W,3,0.0,1,2,2014-04-11,11:30:33,88.435623,78540.8359375,204.39761352539062,0.676447868347168,145.05459594726562,161.36265563964844,149.95462036132812,158.07627868652344,1.123467206954956
icdg03biq_flt.fits,F125W,3,0.0,1,2,2014-04-11,11:32:20,88.435623,78559.8984375,198.71591186523438,0.6333608627319336,145.04783630371094,161.3602752685547,149.94786071777344,158.0738983154297,0.7111943960189819
icdg03bjq_flt.fits,F125W,3,0.0,1,2,2014-04-11,11:34:07,88.435623,78810.625,196.3023223876953,0.5817480087280273,145.0523681640625,161.361083984375,149.95240783691406,158.07470703125,0.8483626842498779
icdg03bmq_flt.fits,F125W,3,0.0,2,4,2014-04-11,11:40:17,88.435623,77712.171875,187.49578857421875,0.6699771881103516,134.8948974609375,172.71176147460938,139.7927703857422,169.42832946777344,1.1807533502578735
icdg03bnq_flt.fits,F125W,3,0.0,2,4,2014-04-11,11:42:04,88.435623,77990.8203125,187.2921905517578,0.6521406173706055,134.89292907714844,172.7082061767578,139.79080200195312,169.4247589111328,0.7704449892044067
icdg03boq_flt.fits,F125W,3,0.0,2,4,2014-04-11,11:43:51,88.435623,77963.390625,189.885498046875,0.6215553283691406,134.89181518554688,172.7139892578125,139.78968811035156,169.43052673339844,0.914947509765625
icdg03bsq_flt.fits,F125W,3,0.0,3,6,2014-04-11,11:51:47,88.435623,77780.703125,190.265380859375,0.6151790618896484,145.0128173828125,172.67787170410156,149.91156005859375,169.39370727539062,1.0106714963912964
icdg03btq_flt.fits,F125W,3,0.0,3,6,2014-04-11,11:53:34,88.435623,77991.125,189.70904541015625,0.5986185073852539,145.01449584960938,172.67324829101562,149.91323852539062,169.38906860351562,0.8198907971382141
icdg03buq_flt.fits,F125W,3,0.0,3,6,2014-04-11,11:55:21,88.435623,78151.7890625,189.63453674316406,0.59503173828125,145.0187530517578,172.67955017089844,149.91751098632812,169.39537048339844,0.9519471526145935
icdg04bzq_flt.fits,F125W,4,1.0,0,0,2014-04-11,12:54:41,88.435623,77942.296875,184.34457397460938,0.9027767181396484,141.63710021972656,159.0959930419922,144.84429931640625,153.80674743652344,0.7512792348861694
icdg04c0q_flt.fits,F125W,4,1.0,0,0,2014-04-11,12:56:28,88.435623,78145.1953125,188.5072021484375,0.8144502639770508,141.63258361816406,159.09230041503906,144.83978271484375,153.8030548095703,0.7444915771484375
icdg04c1q_flt.fits,F125W,4,1.0,0,0,2014-04-11,12:58:15,88.435623,78257.703125,182.9879150390625,0.7608499526977539,141.6331787109375,159.0848846435547,144.8403778076172,153.79563903808594,0.7285173535346985
icdg04c6q_flt.fits,F125W,4,1.0,1,2,2014-04-11,13:06:11,88.435623,77857.625,182.89236450195312,0.6817293167114258,151.77847290039062,159.02752685546875,154.98699951171875,153.73777770996094,1.0416241884231567
icdg04c7q_flt.fits,F125W,4,1.0,1,2,2014-04-11,13:07:58,88.435623,78024.25,189.2937469482422,0.6237878799438477,151.7748565673828,159.02511596679688,154.9833984375,153.73536682128906,0.7304031252861023
icdg04c8q_flt.fits,F125W,4,1.0,1,2,2014-04-11,13:09:45,88.435623,78151.3046875,197.08047485351562,0.5931129455566406,151.77175903320312,159.0209197998047,154.9803009033203,153.7311553955078,0.7024515271186829
icdg04cbq_flt.fits,F125W,4,1.0,2,4,2014-04-11,13:15:55,88.435623,78228.296875,193.27243041992188,0.639678955078125,141.59974670410156,170.39630126953125,144.8060760498047,165.11058044433594,0.9966637492179871
icdg04ccq_flt.fits,F125W,4,1.0,2,4,2014-04-11,13:17:42,88.435623,78504.171875,197.63082885742188,0.6330242156982422,141.59133911132812,170.390625,144.7976837158203,165.1049041748047,0.7197160124778748
icdg04cdq_flt.fits,F125W,4,1.0,2,4,2014-04-11,13:19:29,88.435623,78564.8125,199.34921264648438,0.570429801940918,141.58523559570312,170.38916015625,144.7915802001953,165.10342407226562,0.6858261823654175
icdg04chq_flt.fits,F125W,4,1.0,3,6,2014-04-11,13:27:25,88.435623,77218.7421875,198.22238159179688,0.6440925598144531,151.72048950195312,170.34396362304688,154.9281768798828,165.05772399902344,1.037127137184143
icdg04ciq_flt.fits,F125W,4,1.0,3,6,2014-04-11,13:29:12,88.435623,77556.921875,196.4495391845703,0.6146459579467773,151.72195434570312,170.35105895996094,154.9296417236328,165.0648193359375,0.755073070526123
icdg04cjq_flt.fits,F125W,4,1.0,3,6,2014-04-11,13:30:59,88.435623,77741.203125,194.5485382080078,0.5848875045776367,151.7223663330078,170.35330200195312,154.9300537109375,165.06704711914062,0.8799139857292175
icdg05coq_flt.fits,F125W,5,0.0,0,0,2014-04-11,14:31:14,88.435623,77502.71875,195.65977478027344,0.8953304290771484,134.9062957763672,161.39569091796875,139.8054656982422,158.1100616455078,0.9429976344108582
icdg05cpq_flt.fits,F125W,5,0.0,0,0,2014-04-11,14:33:01,88.435623,77776.015625,193.83621215820312,0.7899255752563477,134.9071502685547,161.39218139648438,139.8063201904297,158.10653686523438,0.8574267029762268
icdg05cqq_flt.fits,F125W,5,0.0,0,0,2014-04-11,14:34:48,88.435623,77914.796875,194.73316955566406,0.7004318237304688,134.90802001953125,161.38465881347656,139.80718994140625,158.0989990234375,1.030936598777771
icdg05cvq_flt.fits,F125W,5,0.0,1,2,2014-04-11,14:42:44,88.435623,78149.9375,196.117431640625,0.6807050704956055,145.01295471191406,161.3185577392578,149.91297912597656,158.0321807861328,1.3073731660842896
icdg05cwq_flt.fits,F125W,5,0.0,1,2,2014-04-11,14:44:31,88.435623,78362.53125,193.78427124023438,0.6269855499267578,145.0085906982422,161.32505798339844,149.9086151123047,158.03866577148438,1.006713628768921
icdg05cxq_flt.fits,F125W,5,0.0,1,2,2014-04-11,14:46:18,88.435623,78281.7890625,191.1721954345703,0.6133623123168945,145.007568359375,161.32066345214844,149.90760803222656,158.03428649902344,1.1050230264663696
icdg05d0q_flt.fits,F125W,5,0.0,2,4,2014-04-11,14:52:28,88.435623,77355.90625,185.07994079589844,0.7180843353271484,134.8500518798828,172.68194580078125,139.7479248046875,169.39846801757812,1.3180921077728271
icdg05d1q_flt.fits,F125W,5,0.0,2,4,2014-04-11,14:54:15,88.435623,77600.1328125,185.5123748779297,0.7041807174682617,134.84591674804688,172.67950439453125,139.74378967285156,169.39605712890625,1.0092731714248657
