FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y
icdg01a2q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:44:11,88.435623,64856.1210938,307.269866943,-0.169515609741,144.981018066,172.878692627,149.430465698,169.907028198
icdg01a3q_flt.fits,F160W,1,0.0,3,1,2014-04-11,08:45:58,88.435623,65093.5820312,311.100280762,-0.122253417969,144.984085083,172.876480103,149.447662354,169.918746948
icdg01zgq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:13:14,88.435623,63960.0117188,314.034973145,-0.0510177612305,134.90435791,161.502365112,139.353912354,158.572662354
icdg01ziq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:15:01,88.435623,64084.40625,324.929443359,-0.0537643432617,134.90145874,161.503387451,139.350784302,158.576568604
icdg01zjq_flt.fits,F160W,1,0.0,0,3,2014-04-11,08:16:48,88.435623,64090.9140625,314.833587646,-0.0786075592041,134.897369385,161.500518799,139.344528198,158.563278198
icdg01zrq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:24:44,88.435623,63767.8164062,315.224822998,0.12392616272,145.014465332,161.456741333,149.459381104,158.5078125
icdg01zsq_flt.fits,F160W,1,0.0,1,5,2014-04-11,08:26:31,88.435623,64284.1210938,319.560272217,0.0317192077637,145.007827759,161.454650879,149.447662354,158.516403198
icdg01zwq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:34:28,88.435623,64959.2421875,309.662078857,-0.195453643799,134.824035645,172.898803711,139.348434448,169.9453125
icdg01zxq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:36:15,88.435623,65411.6210938,312.339599609,-0.21856880188,134.815979004,172.902053833,139.332809448,169.974212646
icdg01zyq_flt.fits,F160W,1,0.0,2,7,2014-04-11,08:38:02,88.435623,65411.203125,313.598693848,-0.216873168945,134.818588257,172.902572632,139.346099854,169.954681396
icdg02ahq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:48:52,88.435623,64400.0039062,320.12322998,0.0757884979248,141.606277466,159.241653442,144.504684448,154.4375
icdg02ajq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:50:39,88.435623,64395.0703125,321.689056396,0.0163402557373,141.605285645,159.235717773,144.500778198,154.439849854
icdg02akq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:52:26,88.435623,64297.796875,320.702056885,0.0577640533447,141.604431152,159.228424072,144.502349854,154.4296875
icdg02apq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:00:22,88.435623,63893.4765625,325.355072021,0.130428314209,151.705001831,159.195739746,154.573440552,154.39453125
icdg02aqq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:02:09,88.435623,64208.6328125,321.200531006,0.111328125,151.699249268,159.18548584,154.591400146,154.396087646
icdg02auq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:10:06,88.435623,64480.4765625,312.327697754,0.0416107177734,141.541824341,170.588928223,144.489837646,165.797653198
icdg02avq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:11:53,88.435623,65260.390625,314.018066406,-0.063591003418,141.542053223,170.591751099,144.46875,165.803909302
icdg02awq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:13:40,88.435623,65151.6289062,308.093505859,-0.0615901947021,141.534683228,170.591934204,144.471099854,165.78515625
icdg02azq_flt.fits,F160W,2,1.0,3,7,2014-04-11,10:19:49,88.435623,64286.7734375,314.084442139,0.0966377258301,151.658691406,170.551559448,154.581253052,165.77734375
icdg02b0q_flt.fits,F160W,2,1.0,3,7,2014-04-11,10:21:36,88.435623,64361.1640625,316.630950928,0.0381317138672,151.662979126,170.551177979,154.590621948,165.77734375
icdg03bdq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:24:30,88.435623,64382.9414062,318.755584717,-0.00479698181152,134.860137939,161.523239136,139.333587646,158.582809448
icdg03bfq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:26:17,88.435623,64468.5546875,320.334259033,-0.00655746459961,134.852844238,161.521835327,139.340621948,158.59765625
icdg03bgq_flt.fits,F160W,3,0.0,0,1,2014-04-11,11:28:04,88.435623,64739.5078125,316.930358887,-0.0649127960205,134.839813232,161.518859863,139.349212646,158.580474854
icdg03bkq_flt.fits,F160W,3,0.0,1,3,2014-04-11,11:36:00,88.435623,64678.4570312,318.000640869,0.0715713500977,144.980606079,161.485855103,149.432037354,158.520309448
icdg03blq_flt.fits,F160W,3,0.0,1,3,2014-04-11,11:37:47,88.435623,64980.9257812,319.77545166,0.0347537994385,144.970245361,161.481674194,149.40625,158.534378052
