file name,filter,orbit,Pos Angle,dither,exposure set,obs date,obs time,exposure time,fluxA,fluxB
icdg01a1q_flt.fits,F125W,1,202,3,0,2014-04-11,08:42:18,88.435623,0.998517,0.983672
icdg01zdq_flt.fits,F125W,1,202,0,2,2014-04-11,08:07:47,88.435623,0.984013,1.020976
icdg01zeq_flt.fits,F125W,1,202,0,2,2014-04-11,08:09:34,88.435623,0.990695,1.012983
icdg01zfq_flt.fits,F125W,1,202,0,2,2014-04-11,08:11:21,88.435623,0.996300,1.011630
icdg01znq_flt.fits,F125W,1,202,1,4,2014-04-11,08:19:17,88.435623,0.985488,1.025022
icdg01zpq_flt.fits,F125W,1,202,1,4,2014-04-11,08:21:04,88.435623,0.987233,1.031497
icdg01zqq_flt.fits,F125W,1,202,1,4,2014-04-11,08:22:51,88.435623,0.993998,1.021406
icdg01ztq_flt.fits,F125W,1,202,2,6,2014-04-11,08:29:01,88.435623,1.002103,0.972934
icdg01zuq_flt.fits,F125W,1,202,2,6,2014-04-11,08:30:48,88.435623,1.002808,0.989954
icdg01zvq_flt.fits,F125W,1,202,2,6,2014-04-11,08:32:35,88.435623,1.006740,0.953011
icdg01zzq_flt.fits,F125W,1,202,3,8,2014-04-11,08:40:31,88.435623,0.991971,0.949944
icdg02aeq_flt.fits,F125W,2,227,0,0,2014-04-11,09:43:25,88.435623,0.992664,1.044052
icdg02afq_flt.fits,F125W,2,227,0,0,2014-04-11,09:45:12,88.435623,0.993245,1.032392
icdg02agq_flt.fits,F125W,2,227,0,0,2014-04-11,09:46:59,88.435623,0.996809,1.008367
icdg02alq_flt.fits,F125W,2,227,1,2,2014-04-11,09:54:55,88.435623,0.985316,1.012719
icdg02anq_flt.fits,F125W,2,227,1,2,2014-04-11,09:56:42,88.435623,0.996117,1.020359
icdg02aoq_flt.fits,F125W,2,227,1,2,2014-04-11,09:58:29,88.435623,0.993788,1.059508
icdg02arq_flt.fits,F125W,2,227,2,4,2014-04-11,10:04:39,88.435623,1.006485,1.024332
icdg02asq_flt.fits,F125W,2,227,2,4,2014-04-11,10:06:26,88.435623,1.008948,1.011166
icdg02atq_flt.fits,F125W,2,227,2,4,2014-04-11,10:08:13,88.435623,1.005928,1.017812
icdg02axq_flt.fits,F125W,2,227,3,6,2014-04-11,10:16:09,88.435623,0.995089,1.020063
icdg02ayq_flt.fits,F125W,2,227,3,6,2014-04-11,10:17:56,88.435623,1.001624,1.028795
icdg03baq_flt.fits,F125W,3,202,0,0,2014-04-11,11:19:03,88.435623,1.002031,1.001161
icdg03bbq_flt.fits,F125W,3,202,0,0,2014-04-11,11:20:50,88.435623,1.004686,1.006721
icdg03bcq_flt.fits,F125W,3,202,0,0,2014-04-11,11:22:37,88.435623,1.005495,1.032587
icdg03bhq_flt.fits,F125W,3,202,1,2,2014-04-11,11:30:33,88.435623,1.006461,1.060519
icdg03biq_flt.fits,F125W,3,202,1,2,2014-04-11,11:32:20,88.435623,1.007305,1.031228
icdg03bjq_flt.fits,F125W,3,202,1,2,2014-04-11,11:34:07,88.435623,1.008849,1.026928
icdg03bmq_flt.fits,F125W,3,202,2,4,2014-04-11,11:40:17,88.435623,1.006306,0.964983
icdg03bnq_flt.fits,F125W,3,202,2,4,2014-04-11,11:42:04,88.435623,1.009226,0.967496
icdg03boq_flt.fits,F125W,3,202,2,4,2014-04-11,11:43:51,88.435623,1.013329,0.972330
icdg03bsq_flt.fits,F125W,3,202,3,6,2014-04-11,11:51:47,88.435623,1.008210,0.968601
