file name,filter,orbit,Pos Angle,dither,exposure set,obs date,obs time,exposure time
icdg01a2q_flt.fits,F160W,1,202.0,3,1,2014-04-11,08:44:11,88.435623
icdg01a3q_flt.fits,F160W,1,202.0,3,1,2014-04-11,08:45:58,88.435623
icdg01zgq_flt.fits,F160W,1,202.0,0,3,2014-04-11,08:13:14,88.435623
icdg01ziq_flt.fits,F160W,1,202.0,0,3,2014-04-11,08:15:01,88.435623
icdg01zjq_flt.fits,F160W,1,202.0,0,3,2014-04-11,08:16:48,88.435623
icdg01zrq_flt.fits,F160W,1,202.0,1,5,2014-04-11,08:24:44,88.435623
icdg01zsq_flt.fits,F160W,1,202.0,1,5,2014-04-11,08:26:31,88.435623
icdg01zwq_flt.fits,F160W,1,202.0,2,7,2014-04-11,08:34:28,88.435623
icdg01zxq_flt.fits,F160W,1,202.0,2,7,2014-04-11,08:36:15,88.435623
icdg01zyq_flt.fits,F160W,1,202.0,2,7,2014-04-11,08:38:02,88.435623
icdg02ahq_flt.fits,F160W,2,227.0,0,1,2014-04-11,09:48:52,88.435623
icdg02ajq_flt.fits,F160W,2,227.0,0,1,2014-04-11,09:50:39,88.435623
icdg02akq_flt.fits,F160W,2,227.0,0,1,2014-04-11,09:52:26,88.435623
icdg02apq_flt.fits,F160W,2,227.0,1,3,2014-04-11,10:00:22,88.435623
icdg02aqq_flt.fits,F160W,2,227.0,1,3,2014-04-11,10:02:09,88.435623
icdg02auq_flt.fits,F160W,2,227.0,2,5,2014-04-11,10:10:06,88.435623
icdg02avq_flt.fits,F160W,2,227.0,2,5,2014-04-11,10:11:53,88.435623
icdg02awq_flt.fits,F160W,2,227.0,2,5,2014-04-11,10:13:40,88.435623
icdg02azq_flt.fits,F160W,2,227.0,3,7,2014-04-11,10:19:49,88.435623
icdg02b0q_flt.fits,F160W,2,227.0,3,7,2014-04-11,10:21:36,88.435623
icdg03bdq_flt.fits,F160W,3,202.0,0,1,2014-04-11,11:24:30,88.435623
icdg03bfq_flt.fits,F160W,3,202.0,0,1,2014-04-11,11:26:17,88.435623
icdg03bgq_flt.fits,F160W,3,202.0,0,1,2014-04-11,11:28:04,88.435623
icdg03bkq_flt.fits,F160W,3,202.0,1,3,2014-04-11,11:36:00,88.435623
icdg03blq_flt.fits,F160W,3,202.0,1,3,2014-04-11,11:37:47,88.435623
icdg03bpq_flt.fits,F160W,3,202.0,2,5,2014-04-11,11:45:44,88.435623
icdg03bqq_flt.fits,F160W,3,202.0,2,5,2014-04-11,11:47:31,88.435623
icdg03brq_flt.fits,F160W,3,202.0,2,5,2014-04-11,11:49:18,88.435623
icdg03bvq_flt.fits,F160W,3,202.0,3,7,2014-04-11,11:57:14,88.435623
