file name,orbit,exposure,filter,date-obs,time-obs,angle,dither
icdg07p3q_flt.fits,7,1,F125W,2013-10-16,15:53:47,101.0005,1
icdg07p4q_flt.fits,7,1,F125W,2013-10-16,15:54:35,101.0005,1
icdg07p5q_flt.fits,7,1,F125W,2013-10-16,15:55:23,101.0005,1
icdg07p6q_flt.fits,7,1,F125W,2013-10-16,15:56:11,101.0005,1
icdg07p7q_flt.fits,7,2,F160W,2013-10-16,15:57:05,101.0005,2
icdg07p8q_flt.fits,7,2,F160W,2013-10-16,15:57:38,101.0005,2
icdg07p9q_flt.fits,7,2,F160W,2013-10-16,15:58:11,101.0005,2
icdg07paq_flt.fits,7,2,F160W,2013-10-16,15:58:44,101.0005,2
icdg07pbq_flt.fits,7,2,F160W,2013-10-16,15:59:17,101.0005,2
icdg07pcq_flt.fits,7,3,F125W,2013-10-16,16:00:32,101.001,3
icdg07pdq_flt.fits,7,3,F125W,2013-10-16,16:01:20,101.001,3
icdg07peq_flt.fits,7,3,F125W,2013-10-16,16:02:08,101.001,3
icdg07pfq_flt.fits,7,3,F125W,2013-10-16,16:02:56,101.001,3
icdg07pgq_flt.fits,7,4,F160W,2013-10-16,16:03:50,101.001,4
icdg07phq_flt.fits,7,4,F160W,2013-10-16,16:04:23,101.001,4
icdg07piq_flt.fits,7,4,F160W,2013-10-16,16:04:56,101.001,4
icdg07pjq_flt.fits,7,4,F160W,2013-10-16,16:05:29,101.001,4
icdg07pkq_flt.fits,7,4,F160W,2013-10-16,16:06:02,101.001,4
icdg07plq_flt.fits,7,5,F125W,2013-10-16,16:07:18,101.0009,5
icdg07pmq_flt.fits,7,5,F125W,2013-10-16,16:08:06,101.0009,5
icdg07pnq_flt.fits,7,5,F125W,2013-10-16,16:08:54,101.0009,5
icdg07poq_flt.fits,7,5,F125W,2013-10-16,16:09:42,101.0009,5
icdg07ppq_flt.fits,7,6,F160W,2013-10-16,16:10:36,101.0009,6
icdg07pqq_flt.fits,7,6,F160W,2013-10-16,16:11:09,101.0009,6
icdg07prq_flt.fits,7,6,F160W,2013-10-16,16:11:42,101.0009,6
icdg07psq_flt.fits,7,6,F160W,2013-10-16,16:12:15,101.0009,6
icdg07ptq_flt.fits,7,6,F160W,2013-10-16,16:12:48,101.0009,6
icdg07puq_flt.fits,7,7,F125W,2013-10-16,16:14:03,101.0014,7
icdg07pvq_flt.fits,7,7,F125W,2013-10-16,16:14:51,101.0014,7
