FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM
icdg07p3q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:53:47,29.663755,0.0,0.0,94.78502655029297,208.073486328125,1.0,0.9900000095367432,-0.2592092454433441,1.5782548189163208,8235.9189453125,23.821849822998047,1.3560224771499634,1.3675230741500854
icdg07p4q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:54:35,29.663755,0.00392913818359375,-0.037872314453125,94.77796936035156,208.07896423339844,1.0,0.9900000095367432,-0.1945432871580124,1.6142934560775757,8279.6982421875,23.837495803833008,1.3569742441177368,1.3646646738052368
icdg07p5q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:55:23,29.663755,-0.0057373046875,-0.006011962890625,94.77928161621094,208.07748413085938,1.0,0.9900000095367432,-0.2102784961462021,1.5564452409744263,8305.8984375,22.753862380981445,1.3534098863601685,1.3640092611312866
icdg07p6q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:56:11,29.663755,-0.004364013671875,-0.032196044921875,94.77803802490234,208.07907104492188,1.0,0.9900000095367432,-0.2081453651189804,1.598183274269104,8303.3623046875,24.95464515686035,1.3630249500274658,1.3744189739227295
icdg07p7q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:57:05,14.970785,0.0,0.0,94.6626205444336,208.22227478027344,3.0,0.9900000095367432,-0.24830152094364166,2.05597186088562,8390.2080078125,31.541038513183594,1.6107317209243774,1.513287901878357
icdg07p8q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:57:38,14.970785,-0.0024261474609375,0.001983642578125,94.66079711914062,208.21925354003906,3.0,0.9900000095367432,-0.2691369950771332,2.0936741828918457,8484.5771484375,31.667871475219727,1.620502233505249,1.515461802482605
icdg07p9q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:58:11,14.970785,0.0070648193359375,0.004730224609375,94.6523666381836,208.2251739501953,3.0,0.9900000095367432,-0.2528475522994995,2.0687925815582275,8394.7265625,31.57302474975586,1.6218870878219604,1.5219355821609497
icdg07paq_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:58:44,14.970785,0.008636474609375,-0.00726318359375,94.65077209472656,208.2278594970703,3.0,0.9900000095367432,-0.2505253851413727,2.0935540199279785,8401.314453125,31.57472038269043,1.6410014629364014,1.5274176597595215
icdg07pbq_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:59:17,14.970785,-0.006866455078125,0.006439208984375,94.6578369140625,208.22555541992188,3.0,0.9900000095367432,-0.2535519003868103,2.0898420810699463,8355.08984375,31.50783348083496,1.626387119293213,1.5299650430679321
icdg07pcq_noramp.fits,F125W,7,101.0,1,2,2013-10-16,16:00:32,29.663755,10.117225646972656,-0.0610198974609375,104.88204193115234,208.0467071533203,1.0,0.9900000095367432,-0.2527923882007599,1.4668214321136475,8173.72509765625,25.235898971557617,1.2806731462478638,1.3258402347564697
icdg07pdq_noramp.fits,F125W,7,101.0,1,2,2013-10-16,16:01:20,29.663755,10.105209350585938,-0.0511016845703125,104.88418579101562,208.05189514160156,1.0,0.9900000095367432,-0.2115587443113327,1.496142029762268,8215.61328125,25.303451538085938,1.2762598991394043,1.324826955795288
icdg07peq_noramp.fits,F125W,7,101.0,1,2,2013-10-16,16:02:08,29.663755,10.117225646972656,-0.0491485595703125,104.88404083251953,208.05538940429688,1.0,0.9900000095367432,-0.22334226965904236,1.4476885795593262,8275.3662109375,25.38260269165039,1.2784591913223267,1.327187180519104
icdg07pfq_noramp.fits,F125W,7,101.0,1,2,2013-10-16,16:02:56,29.663755,10.111549377441406,-0.0633087158203125,104.88573455810547,208.0529327392578,1.0,0.9900000095367432,-0.16697944700717926,1.4661641120910645,8244.52734375,25.914770126342773,1.2964361906051636,1.3502377271652222
icdg07pgq_noramp.fits,F160W,7,101.0,1,3,2013-10-16,16:03:50,14.970785,10.136894226074219,-0.0076446533203125,104.79414367675781,208.19805908203125,3.0,0.9900000095367432,-0.2451133131980896,2.0672030448913574,8378.75,34.19267272949219,1.4146714210510254,1.4529426097869873
icdg07phq_noramp.fits,F160W,7,101.0,1,3,2013-10-16,16:04:23,14.970785,10.131935119628906,-0.000732421875,104.79466247558594,208.19647216796875,3.0,0.9900000095367432,-0.22037191689014435,2.0332605838775635,8367.283203125,32.07357406616211,1.430343508720398,1.4662340879440308
icdg07piq_noramp.fits,F160W,7,101.0,1,3,2013-10-16,16:04:56,14.970785,10.130821228027344,-0.0010833740234375,104.797119140625,208.19793701171875,3.0,0.9900000095367432,-0.19148798286914825,2.0525565147399902,8351.490234375,32.02614212036133,1.4233300685882568,1.4596129655838013
icdg07pjq_noramp.fits,F160W,7,101.0,1,3,2013-10-16,16:05:29,14.970785,10.146339416503906,0.0052947998046875,104.80011749267578,208.19497680664062,3.0,0.9900000095367432,-0.26573264598846436,2.06536602973938,8426.2373046875,32.1537971496582,1.4194145202636719,1.459188461303711
icdg07pkq_noramp.fits,F160W,7,101.0,1,3,2013-10-16,16:06:02,14.970785,10.144149780273438,0.00494384765625,104.7982177734375,208.2027587890625,3.0,0.9900000095367432,-0.20108802616596222,2.0466573238372803,8367.326171875,32.066200256347656,1.4104481935501099,1.4584687948226929
icdg07plq_noramp.fits,F125W,7,101.0,2,4,2013-10-16,16:07:18,29.663755,0.0197906494140625,11.275413513183594,94.7945327758789,219.34341430664062,1.0,0.9900000095367432,-0.198273703455925,1.5105315446853638,8187.96044921875,22.613454818725586,1.4281415939331055,1.703012228012085
icdg07pmq_noramp.fits,F125W,7,101.0,2,4,2013-10-16,16:08:06,29.663755,0.009002685546875,11.263481140136719,94.78862762451172,219.32383728027344,1.0,0.9900000095367432,-0.17121966183185577,1.5155478715896606,8212.0302734375,21.082124710083008,1.4245257377624512,1.6749074459075928
icdg07pnq_noramp.fits,F125W,7,101.0,2,4,2013-10-16,16:08:54,29.663755,-0.00762939453125,11.268302917480469,94.78851318359375,219.32516479492188,1.0,0.9900000095367432,-0.17259040474891663,1.4925259351730347,8262.244140625,21.539308547973633,1.4226422309875488,1.6766220331192017
icdg07poq_noramp.fits,F125W,7,101.0,2,4,2013-10-16,16:09:42,29.663755,0.04384613037109375,11.249282836914062,94.78718566894531,219.32037353515625,1.0,0.9900000095367432,-0.16536489129066467,1.4648473262786865,8202.0849609375,21.849607467651367,1.425819754600525,1.6723196506500244
icdg07ppq_noramp.fits,F160W,7,101.0,2,5,2013-10-16,16:10:36,14.970785,0.0617523193359375,11.259963989257812,94.6723861694336,219.54920959472656,3.0,0.9900000095367432,-0.23419348895549774,2.005404472351074,8407.5205078125,31.30344009399414,1.6668565273284912,1.810545802116394
icdg07pqq_noramp.fits,F160W,7,101.0,2,5,2013-10-16,16:11:09,14.970785,0.048614501953125,11.256866455078125,94.67826080322266,219.56932067871094,3.0,0.9900000095367432,-0.23835435509681702,2.0459465980529785,8346.189453125,31.225690841674805,1.6428409814834595,1.8094542026519775
icdg07prq_noramp.fits,F160W,7,101.0,2,5,2013-10-16,16:11:42,14.970785,0.0437469482421875,11.257377624511719,94.68341827392578,219.5706024169922,3.0,0.9900000095367432,-0.23621976375579834,2.027334451675415,8397.7802734375,31.363101959228516,1.6377536058425903,1.7990683317184448
icdg07psq_noramp.fits,F160W,7,101.0,2,5,2013-10-16,16:12:15,14.970785,0.05413818359375,11.257377624511719,94.6908950805664,219.55169677734375,3.0,0.9900000095367432,-0.25253167748451233,1.9803537130355835,8384.22265625,31.24506950378418,1.6265373229980469,1.8139728307724
icdg07ptq_noramp.fits,F160W,7,101.0,2,5,2013-10-16,16:12:48,14.970785,0.04192352294921875,11.277488708496094,94.66847229003906,219.59332275390625,3.0,0.9900000095367432,-0.2572248578071594,1.9819145202636719,8387.0048828125,32.75297546386719,1.6568034887313843,1.793748378753662
icdg07puq_noramp.fits,F125W,7,101.0,3,6,2013-10-16,16:14:03,29.663755,10.123390197753906,11.239540100097656,104.87859344482422,219.3109130859375,1.0,0.9900000095367432,-0.23088407516479492,1.3206771612167358,8252.005859375,21.420324325561523,1.3544139862060547,1.6053098440170288
icdg07pvq_noramp.fits,F125W,7,101.0,3,6,2013-10-16,16:14:51,29.663755,10.126869201660156,11.226333618164062,104.8865966796875,219.28797912597656,1.0,0.9900000095367432,-0.23509880900382996,1.329624056816101,8260.255859375,21.5391902923584,1.3501477241516113,1.5648049116134644
icdg07pwq_noramp.fits,F125W,7,101.0,3,6,2013-10-16,16:15:39,29.663755,10.114837646484375,11.242721557617188,104.890625,219.28773498535156,1.0,0.9900000095367432,-0.21045075356960297,1.3094487190246582,8273.87890625,21.758190155029297,1.3461053371429443,1.5602304935455322
icdg07pxq_noramp.fits,F125W,7,101.0,3,6,2013-10-16,16:16:27,29.663755,10.132438659667969,11.237754821777344,104.89262390136719,219.28839111328125,1.0,0.9900000095367432,-0.17313706874847412,1.2698956727981567,8267.2724609375,21.77037239074707,1.3445320129394531,1.5590112209320068
icdg07pyq_noramp.fits,F160W,7,101.0,3,7,2013-10-16,16:17:21,14.970785,10.190780639648438,11.246200561523438,104.81978607177734,219.53819274902344,3.0,0.9900000095367432,-0.22105903923511505,2.01568865776062,8369.6396484375,31.363048553466797,1.4407925605773926,1.744199514389038
icdg07pzq_noramp.fits,F160W,7,101.0,3,7,2013-10-16,16:17:54,14.970785,10.180076599121094,11.243194580078125,104.81620788574219,219.53765869140625,3.0,0.9900000095367432,-0.20859023928642273,1.9724353551864624,8387.001953125,31.356304168701172,1.444135308265686,1.7463918924331665
icdg07q0q_noramp.fits,F160W,7,101.0,3,7,2013-10-16,16:18:27,14.970785,10.180465698242188,11.244163513183594,104.81925201416016,219.53741455078125,3.0,0.9900000095367432,-0.17749032378196716,1.9958397150039673,8331.6708984375,31.288311004638672,1.4436731338500977,1.7436686754226685
icdg07q1q_noramp.fits,F160W,7,101.0,3,7,2013-10-16,16:19:00,14.970785,10.197799682617188,11.249191284179688,104.82552337646484,219.53009033203125,3.0,0.9900000095367432,-0.1928926259279251,1.9400935173034668,8411.3056640625,31.405521392822266,1.4370481967926025,1.7413758039474487
icdg07q2q_noramp.fits,F160W,7,101.0,3,7,2013-10-16,16:19:33,14.970785,10.169036865234375,11.28240966796875,104.82501983642578,219.54071044921875,3.0,0.9900000095367432,-0.1838146299123764,1.9633643627166748,8360.2275390625,31.352821350097656,1.4423891305923462,1.7468515634536743
icdg07q3q_noramp.fits,F125W,7,101.0,2,8,2013-10-16,16:20:48,29.663755,0.06255340576171875,11.255821228027344,94.81839752197266,219.33763122558594,1.0,0.9900000095367432,-0.18646056950092316,1.4833354949951172,8236.09765625,21.254989624023438,1.409788966178894,1.673412799835205
icdg07q4q_noramp.fits,F125W,7,101.0,2,8,2013-10-16,16:21:36,29.663755,0.08870697021484375,11.277450561523438,94.82117462158203,219.34507751464844,1.0,0.9920899868011475,-0.14137105643749237,1.528705358505249,8242.107421875,21.20279312133789,1.4058785438537598,1.6796118021011353
icdg07q5q_noramp.fits,F125W,7,101.0,2,8,2013-10-16,16:22:24,29.663755,0.0197601318359375,11.291297912597656,94.83531188964844,219.38087463378906,1.0,0.991320013999939,-0.12560215592384338,1.4782099723815918,8263.2568359375,22.25420379638672,1.3946356773376465,1.7188010215759277
icdg07q6q_noramp.fits,F125W,7,101.0,2,8,2013-10-16,16:23:12,29.663755,0.08087921142578125,11.255096435546875,94.8207015991211,219.33802795410156,1.0,0.9900000095367432,-0.12112607061862946,1.5180467367172241,8238.861328125,21.694095611572266,1.4077093601226807,1.668760061264038
icdg07q7q_noramp.fits,F160W,7,101.0,2,9,2013-10-16,16:24:06,14.970785,0.1190643310546875,11.256515502929688,94.72702026367188,219.58604431152344,3.0,0.9900000095367432,-0.2053910493850708,2.0264358520507812,8407.392578125,32.353370666503906,1.5851342678070068,1.7814229726791382
icdg07q8q_noramp.fits,F160W,7,101.0,2,9,2013-10-16,16:24:39,14.970785,0.0984344482421875,11.28857421875,94.7208251953125,219.59165954589844,3.0,0.9900000095367432,-0.21564503014087677,2.0451977252960205,8391.9052734375,33.816795349121094,1.5895570516586304,1.770467758178711
icdg07q9q_noramp.fits,F160W,7,101.0,2,9,2013-10-16,16:25:12,14.970785,0.10147857666015625,11.288223266601562,94.71137237548828,219.5669708251953,3.0,0.9900000095367432,-0.29871731996536255,1.9822977781295776,8397.1806640625,33.94454574584961,1.6104650497436523,1.794068455696106
icdg07qaq_noramp.fits,F160W,7,101.0,2,9,2013-10-16,16:25:45,14.970785,0.1003265380859375,11.322761535644531,94.724853515625,219.5907745361328,3.0,0.9900000095367432,-0.23442503809928894,2.044771194458008,8441.2275390625,33.974853515625,1.5730687379837036,1.764227032661438
icdg07qbq_noramp.fits,F160W,7,101.0,2,9,2013-10-16,16:26:18,14.970785,0.100738525390625,11.289192199707031,94.71800231933594,219.5819091796875,3.0,0.9900000095367432,-0.22802495956420898,1.9889001846313477,8389.5146484375,32.268070220947266,1.592258334159851,1.7721987962722778
icdg07qcq_noramp.fits,F125W,7,101.0,3,10,2013-10-16,16:27:33,29.663755,10.157928466796875,11.256881713867188,104.92253875732422,219.3095703125,1.0,0.9900000095367432,-0.12296026200056076,1.2777127027511597,8230.537109375,22.112266540527344,1.3448882102966309,1.5813865661621094
icdg07qdq_noramp.fits,F125W,7,101.0,3,10,2013-10-16,16:28:21,29.663755,10.143478393554688,11.257011413574219,104.91405487060547,219.30906677246094,1.0,0.9900000095367432,-0.1060870885848999,1.2854456901550293,8252.1259765625,21.70333480834961,1.3441482782363892,1.5829440355300903
icdg07qeq_noramp.fits,F125W,7,101.0,3,10,2013-10-16,16:29:09,29.663755,10.195030212402344,11.278488159179688,104.92237091064453,219.31336975097656,1.0,0.9916499853134155,-0.10486661642789841,1.3366234302520752,8265.271484375,22.27988052368164,1.341662883758545,1.5770899057388306
icdg07qfq_noramp.fits,F125W,7,101.0,3,10,2013-10-16,16:29:57,29.663755,10.170989990234375,11.254318237304688,104.92201232910156,219.30645751953125,1.0,0.9900000095367432,-0.08796802908182144,1.283501148223877,8263.646484375,21.801082611083984,1.34219229221344,1.572684645652771
icdg07qgq_noramp.fits,F160W,7,101.0,3,11,2013-10-16,16:30:51,14.970785,10.228477478027344,11.290924072265625,104.84127807617188,219.55020141601562,3.0,0.9900000095367432,-0.15120255947113037,1.9893245697021484,8374.6884765625,32.93358612060547,1.4232724905014038,1.7321510314941406
icdg07qhq_noramp.fits,F160W,7,101.0,3,11,2013-10-16,16:31:24,14.970785,10.2166748046875,11.291938781738281,104.84940338134766,219.56253051757812,3.0,0.9900000095367432,-0.1644999384880066,2.0290474891662598,8385.18359375,31.384145736694336,1.4178006649017334,1.7291849851608276
icdg07qiq_noramp.fits,F160W,7,101.0,3,11,2013-10-16,16:31:57,14.970785,10.221939086914062,11.300445556640625,104.84709167480469,219.55941772460938,3.0,0.9900000095367432,-0.14155828952789307,1.9529988765716553,8412.05078125,31.40437126159668,1.4194027185440063,1.7228890657424927
icdg07qjq_noramp.fits,F160W,7,101.0,3,11,2013-10-16,16:32:30,14.970785,10.218093872070312,11.292388916015625,104.84940338134766,219.5587921142578,3.0,0.9900000095367432,-0.11473829299211502,1.983823299407959,8386.80859375,31.372297286987305,1.418820858001709,1.7208094596862793
icdg07qkq_noramp.fits,F160W,7,101.0,3,11,2013-10-16,16:33:03,14.970785,10.225448608398438,11.255706787109375,104.85002136230469,219.5515899658203,3.0,0.9900000095367432,-0.1956985741853714,1.9894771575927734,8387.208984375,31.392667770385742,1.4182345867156982,1.7299879789352417
icdg07qlq_noramp.fits,F125W,7,101.0,3,12,2013-10-16,16:33:42,29.663755,10.16033935546875,11.255027770996094,104.92933654785156,219.3134765625,1.0,0.9912099838256836,-0.07561886310577393,1.2951234579086304,8312.12890625,22.046972274780273,1.349701166152954,1.5835789442062378
icdg07qmq_noramp.fits,F125W,7,101.0,3,12,2013-10-16,16:34:30,29.663755,10.159690856933594,11.25909423828125,104.93033599853516,219.31358337402344,1.0,0.9904400110244751,-0.0658363327383995,1.3014205694198608,8301.10546875,21.64599609375,1.3472858667373657,1.5841361284255981
icdg07qnq_noramp.fits,F125W,7,101.0,3,12,2013-10-16,16:35:18,29.663755,10.210884094238281,11.27935791015625,104.9308090209961,219.3184051513672,1.0,0.9945099949836731,-0.08525118231773376,1.3536244630813599,8287.4189453125,21.65665054321289,1.3445812463760376,1.590531349182129
icdg07qoq_noramp.fits,F125W,7,101.0,3,12,2013-10-16,16:36:06,29.663755,10.193618774414062,11.274490356445312,104.92931365966797,219.3097381591797,1.0,0.9941800236701965,-0.01944681815803051,1.2951680421829224,8295.0791015625,21.84125328063965,1.3448983430862427,1.5822635889053345
icdg08qqq_noramp.fits,F125W,8,129.0,0,0,2013-10-16,17:29:24,29.663755,15.90582275390625,8.289169311523438,129.1819610595703,222.1162872314453,0.0,0.9900000095367432,-0.06979113817214966,1.5290766954421997,8165.91943359375,22.991071701049805,1.4590528011322021,1.4227689504623413
icdg08qrq_noramp.fits,F125W,8,129.0,0,0,2013-10-16,17:30:12,29.663755,15.8988037109375,8.290794372558594,129.178955078125,222.1171417236328,0.0,0.9905499815940857,-0.06915783137083054,1.5380827188491821,8420.515625,23.19690704345703,1.456192135810852,1.416013240814209
icdg08qsq_noramp.fits,F125W,8,129.0,0,0,2013-10-16,17:31:00,29.663755,15.902290344238281,8.285140991210938,129.17710876464844,222.11767578125,0.0,0.9900000095367432,-0.01766170933842659,1.5519801378250122,8241.6884765625,23.187286376953125,1.448283314704895,1.4250396490097046
icdg08qtq_noramp.fits,F125W,8,129.0,0,0,2013-10-16,17:31:48,29.663755,15.895736694335938,8.289779663085938,129.16539001464844,222.11468505859375,0.0,0.9900000095367432,-0.06750687211751938,1.5615099668502808,8230.75,23.32356834411621,1.4425487518310547,1.4148000478744507
icdg08quq_noramp.fits,F160W,8,129.0,0,1,2013-10-16,17:32:42,14.970785,15.9752197265625,8.325538635253906,129.10357666015625,222.28793334960938,2.0,0.9946200251579285,0.027912091463804245,2.0085160732269287,8351.9404296875,31.06572151184082,1.3926506042480469,1.5347768068313599
icdg08qvq_noramp.fits,F160W,8,129.0,0,1,2013-10-16,17:33:15,14.970785,15.9715576171875,8.316970825195312,129.09861755371094,222.29286193847656,2.0,0.9956099987030029,0.03413514047861099,2.0029425621032715,8309.56640625,31.016141891479492,1.3864612579345703,1.5420517921447754
icdg08qwq_noramp.fits,F160W,8,129.0,0,1,2013-10-16,17:33:48,14.970785,15.981025695800781,8.31182861328125,129.09925842285156,222.29197692871094,2.0,0.9918699860572815,-0.04211747646331787,1.96259343624115,8348.76171875,31.052080154418945,1.3890849351882935,1.5506267547607422
icdg08qxq_noramp.fits,F160W,8,129.0,0,1,2013-10-16,17:34:21,14.970785,15.959976196289062,8.312332153320312,129.09181213378906,222.29708862304688,2.0,0.9963799715042114,0.003494396572932601,1.981284499168396,8387.0634765625,31.07454490661621,1.3897584676742554,1.5533273220062256
icdg08qyq_noramp.fits,F160W,8,129.0,0,1,2013-10-16,17:34:54,14.970785,15.998008728027344,8.350349426269531,129.0945587158203,222.2879180908203,2.0,0.9972600340843201,0.009161645546555519,1.9858176708221436,8282.01171875,30.965572357177734,1.3928663730621338,1.54154372215271
icdg08qzq_noramp.fits,F125W,8,129.0,1,2,2013-10-16,17:36:09,29.663755,26.01763153076172,8.283645629882812,139.32516479492188,222.09799194335938,0.0,0.9900000095367432,-0.08936101943254471,1.608567476272583,8182.31494140625,21.78107452392578,1.6264032125473022,1.4582390785217285
icdg08r0q_noramp.fits,F125W,8,129.0,1,2,2013-10-16,17:36:57,29.663755,26.031875610351562,8.2896728515625,139.3227081298828,222.09646606445312,0.0,0.9900000095367432,-0.08493547141551971,1.6216044425964355,8199.5146484375,21.99118995666504,1.6196993589401245,1.452322006225586
icdg08r1q_noramp.fits,F125W,8,129.0,1,2,2013-10-16,17:37:45,29.663755,26.071617126464844,8.261856079101562,139.32420349121094,222.09454345703125,0.0,0.9900000095367432,-0.11236340552568436,1.5684773921966553,8234.080078125,21.824554443359375,1.618931770324707,1.4545682668685913
icdg08r2q_noramp.fits,F125W,8,129.0,1,2,2013-10-16,17:38:33,29.663755,26.027969360351562,8.288414001464844,139.32261657714844,222.09683227539062,0.0,0.9900000095367432,-0.07111196219921112,1.5875662565231323,8263.662109375,22.28120994567871,1.61477792263031,1.4486618041992188
icdg08r3q_noramp.fits,F160W,8,129.0,1,3,2013-10-16,17:39:27,14.970785,26.077423095703125,8.277122497558594,139.2178192138672,222.26788330078125,2.0,0.9917600154876709,-0.07739622890949249,1.999030590057373,8435.939453125,31.235475540161133,1.4914729595184326,1.5537161827087402
icdg08r4q_noramp.fits,F160W,8,129.0,1,3,2013-10-16,17:40:00,14.970785,26.08953094482422,8.290657043457031,139.20994567871094,222.26657104492188,2.0,0.9945099949836731,-0.07051630318164825,1.9849958419799805,8370.837890625,31.032869338989258,1.484928011894226,1.5561506748199463
icdg08r5q_noramp.fits,F160W,8,129.0,1,3,2013-10-16,17:40:33,14.970785,26.06842803955078,8.27740478515625,139.2180633544922,222.2633056640625,2.0,0.9922000169754028,-0.025942768901586533,1.9610882997512817,8442.1455078125,31.207067489624023,1.4989372491836548,1.5406873226165771
icdg08r6q_noramp.fits,F160W,8,129.0,1,3,2013-10-16,17:41:06,14.970785,26.07678985595703,8.281822204589844,139.21214294433594,222.26527404785156,2.0,0.9941800236701965,-0.013144483789801598,1.9608395099639893,8397.486328125,33.138153076171875,1.5035022497177124,1.5515718460083008
icdg08r7q_noramp.fits,F160W,8,129.0,1,3,2013-10-16,17:41:39,14.970785,26.05645751953125,8.282196044921875,139.2134246826172,222.27053833007812,2.0,0.9900000095367432,-0.024810556322336197,1.9757496118545532,8421.3154296875,31.111555099487305,1.5009987354278564,1.5631848573684692
icdg08r8q_noramp.fits,F125W,8,129.0,2,4,2013-10-16,17:42:55,29.663755,15.921859741210938,19.534217834472656,129.12738037109375,233.46615600585938,0.0,0.9900000095367432,-0.10754422843456268,1.6327887773513794,8105.46826171875,21.403470993041992,1.5178278684616089,1.8372994661331177
icdg08r9q_noramp.fits,F125W,8,129.0,2,4,2013-10-16,17:43:43,29.663755,15.950019836425781,19.574188232421875,129.1331024169922,233.47433471679688,0.0,0.9900000095367432,-0.058148663491010666,1.6389741897583008,8089.55029296875,21.599550247192383,1.5239577293395996,1.8417967557907104
icdg08raq_noramp.fits,F125W,8,129.0,2,4,2013-10-16,17:44:31,29.663755,15.930442810058594,19.5516357421875,129.13272094726562,233.47438049316406,0.0,0.9900000095367432,-0.05682298168540001,1.647468090057373,8129.4658203125,21.40256118774414,1.5162895917892456,1.8417574167251587
icdg08rbq_noramp.fits,F125W,8,129.0,2,4,2013-10-16,17:45:19,29.663755,15.923377990722656,19.555572509765625,129.1337890625,233.4745635986328,0.0,0.9900000095367432,-0.09981177002191544,1.6299980878829956,8115.9990234375,21.170316696166992,1.522741675376892,1.8398596048355103
icdg08rcq_noramp.fits,F160W,8,129.0,2,5,2013-10-16,17:46:13,14.970785,15.973861694335938,19.68072509765625,129.07852172851562,233.70018005371094,2.0,0.9952800273895264,0.01644786261022091,2.008911371231079,8167.04541015625,31.16005516052246,1.3854060173034668,1.590930700302124
icdg08rdq_noramp.fits,F160W,8,129.0,2,5,2013-10-16,17:46:46,14.970785,15.982986450195312,19.67528533935547,129.0850830078125,233.69692993164062,2.0,0.9926949739456177,-0.030689483508467674,2.0048117637634277,8174.7900390625,31.177330017089844,1.3924245834350586,1.6027828454971313
icdg08req_noramp.fits,F160W,8,129.0,2,5,2013-10-16,17:47:19,14.970785,15.982406616210938,19.688629150390625,129.08004760742188,233.6997833251953,2.0,0.9956099987030029,-0.0024929719511419535,1.9798425436019897,8224.7626953125,31.225177764892578,1.3900997638702393,1.6024905443191528
icdg08rfq_noramp.fits,F160W,8,129.0,2,5,2013-10-16,17:47:52,14.970785,15.969551086425781,19.683250427246094,129.08485412597656,233.69871520996094,2.0,0.9954450130462646,-0.0006586949457414448,1.9864691495895386,8184.85498046875,33.287818908691406,1.3856801986694336,1.5934339761734009
