FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM,CONTAMINATED
icdg07p3q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:53:47,29.663755,0.0,0.0,94.78477478027344,208.07318115234375,96.0,1.001377820968628,-0.2924451231956482,1.8182224035263062,7685.62255859375,24.57469367980957,1.3552372455596924,1.3684401512145996,0.0
icdg07p4q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:54:35,29.663755,0.0041961669921875,-0.0383453369140625,94.77772521972656,208.07872009277344,96.0,1.0035890340805054,-0.23598426580429077,1.8197180032730103,7727.38232421875,24.611074447631836,1.3561537265777588,1.365538477897644,0.0
icdg07p5q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:55:23,29.663755,-0.0057373046875,-0.0059814453125,94.77904510498047,208.0771942138672,96.0,1.0062886476516724,-0.3016343116760254,1.8128843307495117,7751.9921875,23.543771743774414,1.3526201248168945,1.3649239540100098,0.0
icdg07p6q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:56:11,29.663755,-0.0041961669921875,-0.0323944091796875,94.77780151367188,208.07882690429688,96.0,1.008066177368164,-0.29832354187965393,1.7984209060668945,7764.26318359375,25.65117073059082,1.3622080087661743,1.3753114938735962,0.0
icdg07p7q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:57:05,14.970785,0.0,0.0,94.66313171386719,208.2217254638672,99.0,1.00614333152771,-0.2284734845161438,2.4198577404022217,7965.69189453125,32.08742141723633,1.609167456626892,1.513000726699829,0.0
icdg07p8q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:57:38,14.970785,-0.002227783203125,0.00160980224609375,94.66131591796875,208.2187042236328,99.0,1.0053902864456177,-0.2402886301279068,2.4154388904571533,8026.1103515625,32.16323471069336,1.6189690828323364,1.5151573419570923,0.0
icdg07p9q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:58:11,14.970785,0.00696563720703125,0.00481414794921875,94.65289306640625,208.22462463378906,99.0,1.0066701173782349,-0.27179276943206787,2.4187169075012207,7958.513671875,32.07341766357422,1.620442509651184,1.5216494798660278,0.0
icdg07paq_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:58:44,14.970785,0.0086212158203125,-0.007293701171875,94.65129089355469,208.227294921875,99.0,1.0064303874969482,-0.24846510589122772,2.437725305557251,7967.83935546875,32.137290954589844,1.6396479606628418,1.527197003364563,0.0
icdg07pbq_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:59:17,14.970785,-0.0067291259765625,0.00621795654296875,94.65837860107422,208.22500610351562,99.0,1.0094977617263794,-0.2916480600833893,2.4269418716430664,7907.09716796875,32.03932189941406,1.6248615980148315,1.5296558141708374,0.0
icdg07pcq_noramp.fits,F125W,7,101.0,1,2,2013-10-16,16:00:32,29.663755,10.11962890625,-0.06610107421875,104.88184356689453,208.04652404785156,96.0,1.0109814405441284,-0.39948081970214844,1.7274448871612549,7645.4140625,25.94143295288086,1.2802457809448242,1.326581358909607,1.0
