FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM
icdg07p3q_drz.fits,F125W,7,101.0,0,0,2013-10-16,15:53:47,29.663755,0.0,0.0,93.83563232421875,196.34857177734375,186.0,0.9900000095367432,-0.2011217325925827,1.5650560855865479,8163.07470703125,21.67304229736328,1.676336407661438,1.7612576484680176
icdg07p4q_drz.fits,F125W,7,101.0,0,0,2013-10-16,15:54:35,29.663755,0.00278472900390625,-0.062286376953125,93.83018493652344,196.3496551513672,97.0,0.9900000095367432,-0.10889212042093277,1.4121838808059692,8187.87646484375,20.84248924255371,1.6823588609695435,1.7604628801345825
icdg07p5q_drz.fits,F125W,7,101.0,0,0,2013-10-16,15:55:23,29.663755,-0.0035552978515625,-0.004608154296875,93.83416748046875,196.3460693359375,177.0,0.9957199692726135,0.014881780371069908,1.5254491567611694,8213.8525390625,21.487459182739258,1.6704790592193604,1.7511506080627441
icdg07p6q_drz.fits,F125W,7,101.0,0,0,2013-10-16,15:56:11,29.663755,-0.006988525390625,-0.052581787109375,93.8152084350586,196.33628845214844,97.0,0.9900000095367432,-0.1846933811903,1.3836835622787476,8246.4423828125,20.737770080566406,1.6947720050811768,1.7611935138702393
icdg07p7q_drz.fits,F160W,7,101.0,0,1,2013-10-16,15:57:05,14.970785,0.0,0.0,93.69232177734375,196.522705078125,101.0,0.9900000095367432,-0.16440244019031525,1.7008928060531616,8384.0849609375,28.10333824157715,1.9735301733016968,2.0611939430236816
icdg07p8q_drz.fits,F160W,7,101.0,0,1,2013-10-16,15:57:38,14.970785,-0.00103759765625,0.0027313232421875,93.69051361083984,196.51719665527344,98.0,0.9900000095367432,-0.15394136309623718,1.69595205783844,8495.8857421875,28.212278366088867,1.9869986772537231,2.0578572750091553
icdg07p9q_drz.fits,F160W,7,101.0,0,1,2013-10-16,15:58:11,14.970785,0.00724029541015625,0.005157470703125,93.67787170410156,196.52610778808594,98.0,0.9900000095367432,-0.1977473497390747,1.7208720445632935,8405.828125,28.225513458251953,1.988019347190857,2.062487840652466
icdg07paq_drz.fits,F160W,7,101.0,0,1,2013-10-16,15:58:44,14.970785,0.0088348388671875,-0.00665283203125,93.6790542602539,196.5258331298828,102.0,0.9900000095367432,-0.11901630461215973,1.68552565574646,8439.955078125,28.096202850341797,1.999016284942627,2.0608716011047363
icdg07pbq_drz.fits,F160W,7,101.0,0,1,2013-10-16,15:59:17,14.970785,-0.0059356689453125,0.00629425048828125,93.68359375,196.52664184570312,98.0,0.9914299845695496,0.009102491661906242,1.7134462594985962,8359.99609375,28.1352596282959,1.9883010387420654,2.072418451309204
icdg07pcq_drz.fits,F125W,7,101.0,1,2,2013-10-16,16:00:32,29.663755,10.67657470703125,-0.1326904296875,104.6048583984375,196.29063415527344,113.0,0.9900000095367432,-0.17810794711112976,1.3964263200759888,8194.1171875,20.763065338134766,1.8520575761795044,1.7279729843139648
