No exposures,date-obs,dither,file name,filter,orbit,time-obs
4,2013-10-16,1,orbit_07_dither_01_F125W.fits,F125W,7,15:53:47
5,2013-10-16,2,orbit_07_dither_02_F160W.fits,F160W,7,15:57:05
4,2013-10-16,3,orbit_07_dither_03_F125W.fits,F125W,7,16:00:32
5,2013-10-16,4,orbit_07_dither_04_F160W.fits,F160W,7,16:03:50
4,2013-10-16,5,orbit_07_dither_05_F125W.fits,F125W,7,16:07:18
5,2013-10-16,6,orbit_07_dither_06_F160W.fits,F160W,7,16:10:36
4,2013-10-16,7,orbit_07_dither_07_F125W.fits,F125W,7,16:14:03
5,2013-10-16,8,orbit_07_dither_08_F160W.fits,F160W,7,16:17:21
4,2013-10-16,9,orbit_07_dither_09_F125W.fits,F125W,7,16:20:48
5,2013-10-16,10,orbit_07_dither_10_F160W.fits,F160W,7,16:24:06
4,2013-10-16,11,orbit_07_dither_11_F125W.fits,F125W,7,16:27:33
5,2013-10-16,12,orbit_07_dither_12_F160W.fits,F160W,7,16:30:51
4,2013-10-16,13,orbit_07_dither_13_F125W.fits,F125W,7,16:33:42
4,2013-10-16,1,orbit_08_dither_01_F125W.fits,F125W,8,17:29:24
5,2013-10-16,2,orbit_08_dither_02_F160W.fits,F160W,8,17:32:42
4,2013-10-16,3,orbit_08_dither_03_F125W.fits,F125W,8,17:36:09
5,2013-10-16,4,orbit_08_dither_04_F160W.fits,F160W,8,17:39:27
4,2013-10-16,5,orbit_08_dither_05_F125W.fits,F125W,8,17:42:55
5,2013-10-16,6,orbit_08_dither_06_F160W.fits,F160W,8,17:46:13
4,2013-10-16,7,orbit_08_dither_07_F125W.fits,F125W,8,17:49:40
5,2013-10-16,8,orbit_08_dither_08_F160W.fits,F160W,8,17:52:58
4,2013-10-16,9,orbit_08_dither_09_F125W.fits,F125W,8,17:56:25
5,2013-10-16,10,orbit_08_dither_10_F160W.fits,F160W,8,17:59:43
4,2013-10-16,11,orbit_08_dither_11_F125W.fits,F125W,8,18:03:10
5,2013-10-16,12,orbit_08_dither_12_F160W.fits,F160W,8,18:06:28
4,2013-10-16,13,orbit_08_dither_13_F125W.fits,F125W,8,18:09:19
4,2013-10-16,1,orbit_09_dither_01_F125W.fits,F125W,9,19:05:02
5,2013-10-16,2,orbit_09_dither_02_F160W.fits,F160W,9,19:08:20
4,2013-10-16,3,orbit_09_dither_03_F125W.fits,F125W,9,19:11:47
5,2013-10-16,4,orbit_09_dither_04_F160W.fits,F160W,9,19:15:05
4,2013-10-16,5,orbit_09_dither_05_F125W.fits,F125W,9,19:18:33
5,2013-10-16,6,orbit_09_dither_06_F160W.fits,F160W,9,19:21:51
4,2013-10-16,7,orbit_09_dither_07_F125W.fits,F125W,9,19:25:18
5,2013-10-16,8,orbit_09_dither_08_F160W.fits,F160W,9,19:28:36
4,2013-10-16,9,orbit_09_dither_09_F125W.fits,F125W,9,19:32:04
5,2013-10-16,10,orbit_09_dither_10_F160W.fits,F160W,9,19:35:22
4,2013-10-16,11,orbit_09_dither_11_F125W.fits,F125W,9,19:38:49
5,2013-10-16,12,orbit_09_dither_12_F160W.fits,F160W,9,19:42:07
4,2013-10-16,13,orbit_09_dither_13_F125W.fits,F125W,9,19:44:58
4,2013-10-16,1,orbit_10_dither_01_F125W.fits,F125W,10,20:40:40
5,2013-10-16,2,orbit_10_dither_02_F160W.fits,F160W,10,20:43:58
4,2013-10-16,3,orbit_10_dither_03_F125W.fits,F125W,10,20:46:49
5,2013-10-16,4,orbit_10_dither_04_F160W.fits,F160W,10,20:50:07
4,2013-10-16,5,orbit_10_dither_05_F125W.fits,F125W,10,20:52:58
5,2013-10-16,6,orbit_10_dither_06_F160W.fits,F160W,10,20:56:16
4,2013-10-16,7,orbit_10_dither_07_F125W.fits,F125W,10,20:59:07
5,2013-10-16,8,orbit_10_dither_08_F160W.fits,F160W,10,21:02:25
4,2013-10-16,9,orbit_10_dither_09_F125W.fits,F125W,10,21:05:16
