file name,filter,orbit,Pos Angle,dither,exposure set,obs date,obs time,exposure time
icdg07p3q_flt.fits,F125W,7,101.000504,0,0,2013-10-16,15:53:47,29.663755
icdg07p4q_flt.fits,F125W,7,101.000504,0,0,2013-10-16,15:54:35,29.663755
icdg07p5q_flt.fits,F125W,7,101.000504,0,0,2013-10-16,15:55:23,29.663755
icdg07p6q_flt.fits,F125W,7,101.000504,0,0,2013-10-16,15:56:11,29.663755
icdg07p7q_flt.fits,F160W,7,101.000504,0,1,2013-10-16,15:57:05,14.970785
icdg07p8q_flt.fits,F160W,7,101.000504,0,1,2013-10-16,15:57:38,14.970785
icdg07p9q_flt.fits,F160W,7,101.000504,0,1,2013-10-16,15:58:11,14.970785
icdg07paq_flt.fits,F160W,7,101.000504,0,1,2013-10-16,15:58:44,14.970785
icdg07pbq_flt.fits,F160W,7,101.000504,0,1,2013-10-16,15:59:17,14.970785
icdg07pcq_flt.fits,F125W,7,101.000999,1,2,2013-10-16,16:00:32,29.663755
icdg07pdq_flt.fits,F125W,7,101.000999,1,2,2013-10-16,16:01:20,29.663755
icdg07peq_flt.fits,F125W,7,101.000999,1,2,2013-10-16,16:02:08,29.663755
icdg07pfq_flt.fits,F125W,7,101.000999,1,2,2013-10-16,16:02:56,29.663755
icdg07pgq_flt.fits,F160W,7,101.000999,1,3,2013-10-16,16:03:50,14.970785
icdg07phq_flt.fits,F160W,7,101.000999,1,3,2013-10-16,16:04:23,14.970785
icdg07piq_flt.fits,F160W,7,101.000999,1,3,2013-10-16,16:04:56,14.970785
icdg07pjq_flt.fits,F160W,7,101.000999,1,3,2013-10-16,16:05:29,14.970785
icdg07pkq_flt.fits,F160W,7,101.000999,1,3,2013-10-16,16:06:02,14.970785
icdg07plq_flt.fits,F125W,7,101.0009,2,4,2013-10-16,16:07:18,29.663755
icdg07pmq_flt.fits,F125W,7,101.0009,2,4,2013-10-16,16:08:06,29.663755
icdg07pnq_flt.fits,F125W,7,101.0009,2,4,2013-10-16,16:08:54,29.663755
icdg07poq_flt.fits,F125W,7,101.0009,2,4,2013-10-16,16:09:42,29.663755
icdg07ppq_flt.fits,F160W,7,101.0009,2,5,2013-10-16,16:10:36,14.970785
icdg07pqq_flt.fits,F160W,7,101.0009,2,5,2013-10-16,16:11:09,14.970785
icdg07prq_flt.fits,F160W,7,101.0009,2,5,2013-10-16,16:11:42,14.970785
