file name,filter,orbit,Pos Angle,dither,exposure set,obs date,obs time,exposure time,XOFF,YOFF
icdg10u0q_myfits.fits,F125W,10,129.0,0,0,2013-10-16,20:40:40,29.663755,15.8975830078125,8.265274047851562
icdg10u1q_myfits.fits,F125W,10,129.0,0,0,2013-10-16,20:41:28,29.663755,15.903305053710938,8.269996643066406
icdg10u2q_myfits.fits,F125W,10,129.0,0,0,2013-10-16,20:42:16,29.663755,15.895004272460938,8.270843505859375
icdg10u3q_myfits.fits,F125W,10,129.0,0,0,2013-10-16,20:43:04,29.663755,15.895721435546875,8.260429382324219
icdg10u4q_myfits.fits,F160W,10,129.0,0,1,2013-10-16,20:43:58,14.970785000000001,15.991004943847654,8.310165405273438
icdg10u5q_myfits.fits,F160W,10,129.0,0,1,2013-10-16,20:44:31,14.970785000000001,15.977294921875,8.298324584960938
icdg10u6q_myfits.fits,F160W,10,129.0,0,1,2013-10-16,20:45:04,14.970785000000001,15.97906494140625,8.304336547851562
icdg10u7q_myfits.fits,F160W,10,129.0,0,1,2013-10-16,20:45:37,14.970785000000001,15.993927001953125,8.299659729003906
icdg10u8q_myfits.fits,F160W,10,129.0,0,1,2013-10-16,20:46:10,14.970785000000001,15.967140197753904,8.293815612792969
icdg10u9q_myfits.fits,F125W,10,129.0,0,2,2013-10-16,20:46:49,29.663755,15.88555145263672,8.264884948730469
icdg10uaq_myfits.fits,F125W,10,129.0,0,2,2013-10-16,20:47:37,29.663755,15.901611328125,8.276473999023438
icdg10ubq_myfits.fits,F125W,10,129.0,0,2,2013-10-16,20:48:25,29.663755,15.89434051513672,8.279220581054688
icdg10ucq_myfits.fits,F125W,10,129.0,0,2,2013-10-16,20:49:13,29.663755,15.882339477539062,8.249313354492188
icdg10udq_myfits.fits,F160W,10,129.0,0,3,2013-10-16,20:50:07,14.970785000000001,15.990684509277346,8.313217163085938
icdg10ueq_myfits.fits,F160W,10,129.0,0,3,2013-10-16,20:50:40,14.970785000000001,15.973236083984375,8.298835754394531
icdg10ufq_myfits.fits,F160W,10,129.0,0,3,2013-10-16,20:51:13,14.970785000000001,15.97064971923828,8.300605773925781
icdg10ugq_myfits.fits,F160W,10,129.0,0,3,2013-10-16,20:51:46,14.970785000000001,15.97809600830078,8.322868347167969
icdg10uhq_myfits.fits,F160W,10,129.0,0,3,2013-10-16,20:52:19,14.970785000000001,15.958839416503904,8.32830810546875
icdg10uiq_myfits.fits,F125W,10,129.0,0,4,2013-10-16,20:52:58,29.663755,15.926910400390625,8.301719665527344
icdg10ujq_myfits.fits,F125W,10,129.0,0,4,2013-10-16,20:53:46,29.663755,15.914390563964846,8.299842834472656
icdg10ukq_myfits.fits,F125W,10,129.0,0,4,2013-10-16,20:54:34,29.663755,15.891448974609375,8.276161193847656
icdg10ulq_myfits.fits,F125W,10,129.0,0,4,2013-10-16,20:55:22,29.663755,15.87738037109375,8.274551391601562
icdg10umq_myfits.fits,F160W,10,129.0,0,5,2013-10-16,20:56:16,14.970785000000001,15.983802795410154,8.330253601074219
icdg10unq_myfits.fits,F160W,10,129.0,0,5,2013-10-16,20:56:49,14.970785000000001,15.981582641601562,8.316978454589844
icdg10uoq_myfits.fits,F160W,10,129.0,0,5,2013-10-16,20:57:22,14.970785000000001,15.969131469726562,8.324722290039062
icdg10upq_myfits.fits,F160W,10,129.0,0,5,2013-10-16,20:57:55,14.970785000000001,15.978713989257812,8.339302062988281
icdg10uqq_myfits.fits,F160W,10,129.0,0,5,2013-10-16,20:58:28,14.970785000000001,15.986068725585938,8.325775146484375
icdg10urq_myfits.fits,F125W,10,129.0,0,6,2013-10-16,20:59:07,29.663755,15.921310424804688,8.293296813964844
icdg10usq_myfits.fits,F125W,10,129.0,0,6,2013-10-16,20:59:55,29.663755,15.906082153320312,8.307205200195312
icdg10utq_myfits.fits,F125W,10,129.0,0,6,2013-10-16,21:00:43,29.663755,15.885467529296875,8.338638305664062
icdg10uuq_myfits.fits,F125W,10,129.0,0,6,2013-10-16,21:01:31,29.663755,15.917465209960938,8.311454772949219
icdg10uvq_myfits.fits,F160W,10,129.0,0,7,2013-10-16,21:02:25,14.970785000000001,15.979957580566404,8.330078125
icdg10uwq_myfits.fits,F160W,10,129.0,0,7,2013-10-16,21:02:58,14.970785000000001,15.99005126953125,8.3306884765625
icdg10uxq_myfits.fits,F160W,10,129.0,0,7,2013-10-16,21:03:31,14.970785000000001,15.993659973144533,8.3551025390625
icdg10uyq_myfits.fits,F160W,10,129.0,0,7,2013-10-16,21:04:04,14.970785000000001,15.980148315429688,8.352798461914062
icdg10uzq_myfits.fits,F160W,10,129.0,0,7,2013-10-16,21:04:37,14.970785000000001,15.98711395263672,8.351982116699219
icdg10v0q_myfits.fits,F125W,10,129.0,0,8,2013-10-16,21:05:16,29.663755,15.903083801269533,8.315185546875
icdg10v1q_myfits.fits,F125W,10,129.0,0,8,2013-10-16,21:06:04,29.663755,15.913345336914062,8.306831359863281
icdg10v2q_myfits.fits,F125W,10,129.0,0,8,2013-10-16,21:06:52,29.663755,15.926383972167967,8.321037292480469
icdg10v3q_myfits.fits,F125W,10,129.0,0,8,2013-10-16,21:07:40,29.663755,15.94921875,8.332260131835938
icdg10v4q_myfits.fits,F160W,10,129.0,0,9,2013-10-16,21:08:34,14.970785000000001,15.995834350585938,8.361198425292969
icdg10v5q_myfits.fits,F160W,10,129.0,0,9,2013-10-16,21:09:07,14.970785000000001,15.98223114013672,8.337577819824219
icdg10v6q_myfits.fits,F160W,10,129.0,0,9,2013-10-16,21:09:40,14.970785000000001,16.016975402832028,8.374443054199219
icdg10v7q_myfits.fits,F160W,10,129.0,0,9,2013-10-16,21:10:13,14.970785000000001,16.005844116210938,8.360183715820312
icdg10v8q_myfits.fits,F160W,10,129.0,0,9,2013-10-16,21:10:46,14.970785000000001,16.007270812988278,8.361892700195312
icdg10v9q_myfits.fits,F125W,10,129.0,0,10,2013-10-16,21:11:25,29.663755,15.926719665527346,8.3162841796875
icdg10vaq_myfits.fits,F125W,10,129.0,0,10,2013-10-16,21:12:13,29.663755,15.960037231445312,8.348159790039062
icdg10vbq_myfits.fits,F125W,10,129.0,0,10,2013-10-16,21:13:01,29.663755,15.94287109375,8.331741333007812
icdg10vcq_myfits.fits,F125W,10,129.0,0,10,2013-10-16,21:13:49,29.663755,15.934738159179688,8.330665588378906
icdg10vdq_myfits.fits,F160W,10,129.0,0,11,2013-10-16,21:14:43,14.970785000000001,15.968299865722654,8.328987121582031
icdg10veq_myfits.fits,F160W,10,129.0,0,11,2013-10-16,21:15:16,14.970785000000001,16.01898193359375,8.370079040527344
icdg10vfq_myfits.fits,F160W,10,129.0,0,11,2013-10-16,21:15:49,14.970785000000001,16.014663696289062,8.372581481933594
icdg10vgq_myfits.fits,F160W,10,129.0,0,11,2013-10-16,21:16:22,14.970785000000001,16.010879516601562,8.382049560546875
