FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX_FIT,X_FIT,Y_FIT,SKYY_FIT
icdg07p3q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:53:47,29.663755,0.0,0.0,94.7804946899414,208.07022094726562,70.0,0.9980239272117615,-0.1640336513519287,1.761175513267517,8541.0400390625,12.597733497619629,13.0679931640625,0.14297373592853546
icdg07p4q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:54:35,29.663755,0.00420379638671875,-0.0383453369140625,94.77342987060547,208.0758056640625,70.0,1.0006659030914307,-0.13439494371414185,1.7568957805633545,8590.2646484375,12.592461585998535,13.074481964111328,0.12608776986598969
icdg07p5q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:55:23,29.663755,-0.0057373046875,-0.0059814453125,94.77467346191406,208.0742950439453,70.0,1.0038670301437378,-0.18458789587020874,1.7755396366119385,8728.7412109375,12.596567153930664,13.070127487182617,0.004120402503758669
icdg07p6q_noramp.fits,F125W,7,101.0,0,0,2013-10-16,15:56:11,29.663755,-0.0041961669921875,-0.0323944091796875,94.77356719970703,208.0758819580078,70.0,1.0050625801086426,-0.1858358234167099,1.764588713645935,8607.2314453125,12.585392951965332,13.075335502624512,-0.21828487515449524
icdg07p7q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:57:05,14.970785,0.0,0.0,94.6606216430664,208.22132873535156,101.0,1.0066848993301392,-0.2490900456905365,2.3722352981567383,8704.859375,12.513811111450195,13.251383781433105,0.9042087197303772
icdg07p8q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:57:38,14.970785,-0.002227783203125,0.00160980224609375,94.65886688232422,208.2183074951172,98.0,0.999518871307373,-0.23220981657505035,2.4202001094818115,8783.0849609375,12.512782096862793,13.24587345123291,0.6257336735725403
icdg07p9q_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:58:11,14.970785,0.00696563720703125,0.00481414794921875,94.65066528320312,208.22409057617188,101.0,1.006860613822937,-0.2770446240901947,2.417689561843872,8686.34375,12.496369361877441,13.256697654724121,0.9426265358924866
icdg07paq_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:58:44,14.970785,0.00862884521484375,-0.007293701171875,94.64920806884766,208.22666931152344,101.0,1.006289005279541,-0.3205561339855194,2.4039909839630127,8719.8984375,12.505294799804688,13.251788139343262,0.942062258720398
icdg07pbq_noramp.fits,F160W,7,101.0,0,1,2013-10-16,15:59:17,14.970785,-0.0067291259765625,0.00621795654296875,94.6561050415039,208.22442626953125,99.0,1.0094977617263794,-0.2916480600833893,2.4269418716430664,8634.98828125,12.505969047546387,13.25288200378418,0.5858976244926453
icdg07pcq_noramp.fits,F125W,7,101.0,1,2,2013-10-16,16:00:32,29.663755,10.11962890625,-0.06610107421875,104.87751770019531,208.04376220703125,69.0,1.010140061378479,-0.272575706243515,1.677763819694519,8600.61328125,12.739093780517578,13.026833534240723,-0.09098374843597412
icdg07pdq_noramp.fits,F125W,7,101.0,1,2,2013-10-16,16:01:20,29.663755,10.107597351074219,-0.05615234375,104.8797378540039,208.0490264892578,70.0,1.0136064291000366,-0.302349716424942,1.6695330142974854,8666.8173828125,12.75007438659668,13.031231880187988,-0.269839346408844
icdg07peq_noramp.fits,F125W,7,101.0,1,2,2013-10-16,16:02:08,29.663755,10.119613647460938,-0.05419921875,104.8795394897461,208.05255126953125,69.0,1.0142033100128174,-0.25772058963775635,1.6601715087890625,8700.01171875,12.752750396728516,13.035201072692871,0.01386271696537733
icdg07pfq_noramp.fits,F125W,7,101.0,1,2,2013-10-16,16:02:56,29.663755,10.113983154296875,-0.068359375,104.88130187988281,208.04994201660156,69.0,1.0144941806793213,-0.2343626469373703,1.696919560432434,8555.5283203125,12.740067481994629,13.041135787963867,-0.16277927160263062
icdg07pgq_noramp.fits,F160W,7,101.0,1,3,2013-10-16,16:03:50,14.970785,10.144416809082031,-0.024505615234375,104.78904724121094,208.19822692871094,73.0,1.0063176155090332,-0.2147780805826187,2.4521706104278564,8230.068359375,12.635666847229004,13.218143463134766,1.1924972534179688
icdg07phq_noramp.fits,F160W,7,101.0,1,3,2013-10-16,16:04:23,14.970785,10.139541625976562,-0.0176239013671875,104.78975677490234,208.1964569091797,71.0,1.0075246095657349,-0.20537076890468597,2.379567861557007,8540.298828125,12.644885063171387,13.198176383972168,0.9049443602561951
icdg07piq_noramp.fits,F160W,7,101.0,1,3,2013-10-16,16:04:56,14.970785,10.138397216796875,-0.0179595947265625,104.79203796386719,208.1980743408203,73.0,1.0064998865127563,-0.1816835254430771,2.4062294960021973,8487.96875,12.651052474975586,13.206634521484375,1.1366822719573975
icdg07pjq_noramp.fits,F160W,7,101.0,1,3,2013-10-16,16:05:29,14.970785,10.153861999511719,-0.011566162109375,104.79515838623047,208.19503784179688,71.0,1.00904381275177,-0.26561394333839417,2.4229156970977783,8566.5732421875,12.655029296875,13.203702926635742,0.9953792095184326
icdg07pkq_noramp.fits,F160W,7,101.0,1,3,2013-10-16,16:06:02,14.970785,10.151718139648438,-0.011932373046875,104.79307556152344,208.20291137695312,73.0,1.0113260746002197,-0.24770629405975342,2.426283121109009,8520.2041015625,12.650714874267578,13.207772254943848,1.1417852640151978
icdg07plq_noramp.fits,F125W,7,101.0,2,4,2013-10-16,16:07:18,29.663755,0.0221099853515625,11.270233154296875,94.79002380371094,219.33944702148438,67.0,0.9902327656745911,0.026732023805379868,1.8532100915908813,8701.568359375,12.633143424987793,13.37678337097168,0.23197755217552185
icdg07pmq_noramp.fits,F125W,7,101.0,2,4,2013-10-16,16:08:06,29.663755,0.011322021484375,11.258354187011719,94.78410339355469,219.3201904296875,320.0,0.9942054748535156,-0.1801910251379013,1.7271580696105957,8777.685546875,12.629743576049805,13.35295295715332,0.016974234953522682
icdg07pnq_noramp.fits,F125W,7,101.0,2,4,2013-10-16,16:08:54,29.663755,-0.0052947998046875,11.263206481933594,94.78392791748047,219.32151794433594,320.0,0.9933913946151733,-0.1707070916891098,1.7002955675125122,8770.943359375,12.622293472290039,13.362308502197266,0.0013284635497257113
icdg07poq_noramp.fits,F125W,7,101.0,2,4,2013-10-16,16:09:42,29.663755,0.0462188720703125,11.244087219238281,94.7826919555664,219.31674194335938,70.0,0.9942773580551147,0.019044702872633934,1.8542797565460205,8713.5615234375,12.620580673217773,13.362638473510742,0.2487087845802307
