Object,    Opt SpT,    NIR SpT, SpT Refs,  flag,RA (deg),Dec (deg),Epoch (JD),plx,eplx, PlxRef,Ymag,eYmag ,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,Lmag,eLmag,Mmag,eMmag,J2mag,eJ2mag,H2mag, eH2mag, K2mag,eK2mag, MKO+2MA,SS Refs,      sysID bin," compsep("")  HS",  HST/AO,HST AO Refs,
SDSS_J000013.54+255418.6,   null,   T4.5,25,    null,0.05639,25.90546,2454302.13,70.8,1.9,68,15.798, 0.058 1,14.73, 0.030 0,14.74, 0.030 0,14.82,  0.030 0,13.03, 0.030 0,13.28, 0.100 0,15.063,  0.041 0,14.731, 0.074 0,14.836, 0.120 0,"  57,68,135,148",141,1,     NaN,  K,68,
2MASSI_J0003422-$282241,   M7.5,   null,52,    over-L,0.9277,-28.37834,2455051.03,25.7,0.93,253,13.814, 0.055 1,13.017, 0.024 1,12.41, 0.028 1,11.949,  0.025 1,    NaN,   NaN 9,     NaN,   NaN 9,13.068,  0.024 0,12.376, 0.028 0,11.972, 0.025 0,"  57,68",242,1,66,  null,   null,
GJ_1001B,   null,   L5,68,    null,1.14519,-40.73497,2451392.79,76.86,3.97,111,                 NaN,   NaN 9,13.764, 0.038 0,12.82, 0.035 0,12.064,  0.038 1,    NaN,   NaN 9,     NaN,   NaN 9,13.813,  0.034 1,12.735, 0.032 1,12.1, 0.035 0,"  57,68,147",637,2,18.6,  NV,"   68,98",
GJ_1001C,   null,   L5,68,    null,1.14519,-40.73497,2451392.79,76.86,3.97,111,                 NaN,   NaN 9,13.864, 0.040 0,12.97, 0.037 0,12.164,  0.040 1,    NaN,   NaN 9,     NaN,   NaN 9,13.913,  0.036 1,12.885, 0.034 1,12.2, 0.037 0,"  57,68,147",637,2,18.6,  NV,"   68,98",
LSR_J0011+5908,   M6.5,   null,160,    null,2.8826,59.14446,2451492.72,108.3,1.4,160,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,9.945,  0.023 0,9.393, 0.026 0,9.093, 0.021 0,57,161,1,     NaN,  null,   null,
HD_1160B,   null,   null,  null,    young,3.98871,4.25113,2451872.77,9.66,0.45,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,13.41, 0.120 0,14.34, 0.200 0,15.83,  0.100 0,14.65, 0.080 0,14.12, 0.060 0,197,301,1,0.78,  GKV,197,
BRI_0021-$0214,   M9.5,   M9.5,83126,    null,6.10265,-1.97226,2451071.74,86.6,4,246,                 NaN,   NaN 9,11.73, 0.030 0,11.1, 0.030 0,10.53,  0.030 0,9.78, 0.130 0,     NaN,   NaN 9,11.992,  0.035 0,11.084, 0.022 0,10.539, 0.023 0,57146143,214,1,     NaN,  N,218,
LHS_1070A,   M6,   null,156,    null,6.18414,-27.14007,2451542.55,129.47,2.48,48,                 NaN,   NaN 9,9.94, 0.038 0,9.341, 0.039 0,9.046,  0.040 0,8.606, 0.060 0,     NaN,   NaN 9,9.982,  0.038 0,9.312, 0.039 0,9.071, 0.040 0,"  57,68,143",110,1,     NaN,  sWNV,"   68,156,",157154
LHS_1070B,   M9.5,   null,206,    null,6.18414,-27.14007,2451542.55,129.47,2.48,48,                 NaN,   NaN 9,10.588, 0.038 0,9.92, 0.039 0,9.5,  0.040 1,8.82, 0.061 0,     NaN,   NaN 9,10.628,  0.039 1,9.892, 0.040 1,9.525, 0.040 0,"  57,68,143",110,2,1.8,  sNWV,"   68,156,",157154
LHS_1070C,   L0,   null,206,    null,6.18414,-27.14007,2451542.55,129.47,2.48,48,                 NaN,   NaN 9,10.923, 0.038 0,10.243, 0.039 0,9.82,  0.040 1,9.097, 0.062 0,     NaN,   NaN 9,10.968,  0.040 1,10.212, 0.041 1,9.846, 0.040 0,"  57,68,143",110,2,1.8,  sNWV,"   68,156,",157154
2MASS_J00250365+4759191A,   null,   null,  null,    null,6.26525,47.98866,2451123.76,22.82,0.88,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,57,641,2,218,  N,216,
2MASS_J00250365+4759191B,   null,   null,  null,    null,6.26525,47.98866,2451123.76,22.82,0.88,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,57,641,2,218,  N,216,
PC_0025+0447,   M9.5,   null,126,    null,6.92489,5.0616,2451768.91,13.8,1.6,58,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,16.189,  0.093 0,15.288, 0.099 0,14.964, 0.116 0,57,120,1,     NaN,  null,   null,
LP_349-25A,   null,   M7:,68,    young?,6.98419,22.32555,2454688.07,69.6,0.9,68,                 NaN,   NaN 9,11.155, 0.025 1,10.607, 0.023 1,10.15,  0.017 1,9.797, 0.070 0,     NaN,   NaN 9,11.202,  0.025 1,10.559, 0.026 1,10.174, 0.017 0,"  57,67,68,210",604,2,     NaN,  CVK,"   67,76,1",37
LP_349-25B,   null,   M8:,68,    young?,6.98419,22.32555,2454688.07,69.6,0.9,68,                 NaN,   NaN 9,11.505, 0.028 1,10.933, 0.024 1,10.457,  0.018 1,10.019, 0.070 0,     NaN,   NaN 9,11.562,  0.028 1,10.908, 0.029 1,10.492, 0.018 0,"  57,67,68,210",604,2,     NaN,  CVK,"   67,76,1",37
2MASSW_J0030300-$145033,   L7,   null,129,    null,7.62555,-14.84261,2451840.66,37.42,4.5,255,17.609, 0.058 1,16.39, 0.030 0,15.37, 0.030 0,14.49,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,16.278,  0.111 0,15.273, 0.100 0,14.481, 0.100 0,"  57,68,135",269,1,     NaN,  W,"   14,93",
EROS-MP_J0032-$4405,   L0$\gamm,a$ null,53,    gamma,8.23268,-44.08496,2451436.71,38.4,4.8,71,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,14.776,  0.035 0,13.857, 0.034 0,13.269, 0.037 0,57,307,1,     NaN,  null,   null,
SDSSp_J003259.36+141036.6,   null,   L8,83,    null,8.2474,14.17698,2451878.7,30.14,5.16,255,17.548, 0.071 1,16.58, 0.050 0,15.66, 0.050 0,14.99,  0.050 0,13.35, 0.050 0,     NaN,   NaN 9,16.83,  0.169 0,15.648, 0.143 0,14.946, 0.109 0,"  57,68,97,146",270,1,     NaN,  null,   null,
ULAS_J003402.77-$005206.7,   null,   T8.5,56257,    null,8.51161,-0.86872,2455052.1,68.7,1.4,68,18.9, 0.100 0,18.15, 0.030 0,18.49, 0.040 0,18.48,  0.050 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,257,206,1,     NaN,  K,68,
2MASS_J00345157+0523050,   null,   T6.5,25,    null,8.7149,5.38475,2451788.77,105.4,7.5,71,16.043, 0.058 1,15.11, 0.030 0,15.55, 0.030 0,15.96,  0.030 0,13.3, 0.040 0,12.66, 0.100 0,15.535,  0.045 0,15.443, 0.082 0,15.836, 0.030 1,"  44,57,68,148",308,1,     NaN,  null,   null,
2MASSW_J0036159+182110,   L3.5,   L4:,83129,    null,9.0674,18.35291,2451872.62,114.2,0.8,58,13.584, 0.057 1,12.3, 0.030 0,11.64, 0.030 0,11.04,  0.030 0,10.08, 0.050 0,10.35, 0.070 0,12.466,  0.027 0,11.588, 0.030 0,11.058, 0.021 0,"  57,68,135,146",121,1,     NaN,  WNA,"   14,165,",209218
HD_3651B,   null,   T7.5,178,    null,9.82913,21.25476,2450726.74,90.42,0.32,253,17.216, 0.058 1,16.31, 0.030 0,16.72, 0.030 0,16.86,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,16.595,  0.030 1,16.661, 0.030 1,16.734, 0.030 1,68164,243,1,42.9,  K,68,
2MASS_J00501994-$3322402,   null,   T7,25,    null,12.58726,-33.37493,2455051.07,94.6,2.4,68,16.798, 0.086 1,15.65, 0.100 0,16.04, 0.100 0,15.91,  0.100 0,    NaN,   NaN 9,     NaN,   NaN 9,15.928,  0.070 0,15.838, 0.191 0,15.241, 0.185 0,"  57,68,151",298,1,     NaN,  K,68,
RG_0050-$2722,   M8,   null,126,    null,13.22787,-27.09992,2451128.54,46.2,10,247,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.611,  0.026 0,12.984, 0.032 0,12.54, 0.029 0,57,226,1,     NaN,  null,   null,
