No exposures,date-obs,dither,file name,filter,orbit,time-obs,flux
5,2013-10-16,2,orbit_07_dither_02_F160W.fits,F160W,7,15:57:05,8351.89
5,2013-10-16,4,orbit_07_dither_04_F160W.fits,F160W,7,16:03:50,8300.11
5,2013-10-16,6,orbit_07_dither_06_F160W.fits,F160W,7,16:10:36,8316.77
5,2013-10-16,8,orbit_07_dither_08_F160W.fits,F160W,7,16:17:21,8302.08
5,2013-10-16,10,orbit_07_dither_10_F160W.fits,F160W,7,16:24:06,8353.01
5,2013-10-16,12,orbit_07_dither_12_F160W.fits,F160W,7,16:30:51,8342.03
5,2013-10-16,2,orbit_08_dither_02_F160W.fits,F160W,8,17:32:42,8305.38
5,2013-10-16,4,orbit_08_dither_04_F160W.fits,F160W,8,17:39:27,8385.16
5,2013-10-16,6,orbit_08_dither_06_F160W.fits,F160W,8,17:46:13,8166.33
5,2013-10-16,8,orbit_08_dither_08_F160W.fits,F160W,8,17:52:58,8254.91
5,2013-10-16,10,orbit_08_dither_10_F160W.fits,F160W,8,17:59:43,8172.47
5,2013-10-16,12,orbit_08_dither_12_F160W.fits,F160W,8,18:06:28,8230.99
5,2013-10-16,2,orbit_09_dither_02_F160W.fits,F160W,9,19:08:20,8349.04
5,2013-10-16,4,orbit_09_dither_04_F160W.fits,F160W,9,19:15:05,8313.7
5,2013-10-16,6,orbit_09_dither_06_F160W.fits,F160W,9,19:21:51,8338.04
5,2013-10-16,8,orbit_09_dither_08_F160W.fits,F160W,9,19:28:36,8301.87
5,2013-10-16,10,orbit_09_dither_10_F160W.fits,F160W,9,19:35:22,8385.62
5,2013-10-16,12,orbit_09_dither_12_F160W.fits,F160W,9,19:42:07,8363.79
5,2013-10-16,2,orbit_10_dither_02_F160W.fits,F160W,10,20:43:58,8348.33
5,2013-10-16,4,orbit_10_dither_04_F160W.fits,F160W,10,20:50:07,8338.57
5,2013-10-16,6,orbit_10_dither_06_F160W.fits,F160W,10,20:56:16,8369.6
5,2013-10-16,8,orbit_10_dither_08_F160W.fits,F160W,10,21:02:25,8334.35
5,2013-10-16,10,orbit_10_dither_10_F160W.fits,F160W,10,21:08:34,8305.52
5,2013-10-16,12,orbit_10_dither_12_F160W.fits,F160W,10,21:14:43,8351.2
5,2013-10-16,2,orbit_11_dither_02_F160W.fits,F160W,11,22:19:35,8356.84
5,2013-10-16,4,orbit_11_dither_04_F160W.fits,F160W,11,22:25:44,8360.52
5,2013-10-16,6,orbit_11_dither_06_F160W.fits,F160W,11,22:31:53,8340.9
5,2013-10-16,8,orbit_11_dither_08_F160W.fits,F160W,11,22:38:02,8341.32
5,2013-10-16,10,orbit_11_dither_10_F160W.fits,F160W,11,22:44:11,8362.93
5,2013-10-16,12,orbit_11_dither_12_F160W.fits,F160W,11,22:50:20,8403.38
5,2013-10-16,2,orbit_12_dither_02_F160W.fits,F160W,12,23:55:13,8316.23
5,2013-10-17,4,orbit_12_dither_04_F160W.fits,F160W,12,00:01:22,8294.49
5,2013-10-17,6,orbit_12_dither_06_F160W.fits,F160W,12,00:07:31,8306.6
5,2013-10-17,8,orbit_12_dither_08_F160W.fits,F160W,12,00:13:40,8300.82
5,2013-10-17,10,orbit_12_dither_10_F160W.fits,F160W,12,00:19:49,8293.12
5,2013-10-17,12,orbit_12_dither_12_F160W.fits,F160W,12,00:25:58,8295.36
