No exposures,date-obs,dither,file name,filter,orbit,time-obs,flux
4,2013-10-16,1,orbit_07_dither_01_F125W.fits,F125W,7,15:53:47,8187.81
4,2013-10-16,3,orbit_07_dither_03_F125W.fits,F125W,7,16:00:32,8165.36
4,2013-10-16,5,orbit_07_dither_05_F125W.fits,F125W,7,16:07:18,8177.46
4,2013-10-16,7,orbit_07_dither_07_F125W.fits,F125W,7,16:14:03,8194.76
4,2013-10-16,9,orbit_07_dither_09_F125W.fits,F125W,7,16:20:48,8168.25
4,2013-10-16,11,orbit_07_dither_11_F125W.fits,F125W,7,16:27:33,8192.28
4,2013-10-16,13,orbit_07_dither_13_F125W.fits,F125W,7,16:33:42,8209.04
4,2013-10-16,1,orbit_08_dither_01_F125W.fits,F125W,8,17:29:24,8163.31
4,2013-10-16,3,orbit_08_dither_03_F125W.fits,F125W,8,17:36:09,8176.46
4,2013-10-16,5,orbit_08_dither_05_F125W.fits,F125W,8,17:42:55,8057.22
4,2013-10-16,7,orbit_08_dither_07_F125W.fits,F125W,8,17:49:40,8137.89
4,2013-10-16,9,orbit_08_dither_09_F125W.fits,F125W,8,17:56:25,8047.05
4,2013-10-16,11,orbit_08_dither_11_F125W.fits,F125W,8,18:03:10,8098.15
4,2013-10-16,13,orbit_08_dither_13_F125W.fits,F125W,8,18:09:19,8149.23
4,2013-10-16,1,orbit_09_dither_01_F125W.fits,F125W,9,19:05:02,8274.52
4,2013-10-16,3,orbit_09_dither_03_F125W.fits,F125W,9,19:11:47,8164.92
4,2013-10-16,5,orbit_09_dither_05_F125W.fits,F125W,9,19:18:33,8154.19
4,2013-10-16,7,orbit_09_dither_07_F125W.fits,F125W,9,19:25:18,8167.66
4,2013-10-16,9,orbit_09_dither_09_F125W.fits,F125W,9,19:32:04,8239.25
4,2013-10-16,11,orbit_09_dither_11_F125W.fits,F125W,9,19:38:49,8195.0
4,2013-10-16,13,orbit_09_dither_13_F125W.fits,F125W,9,19:44:58,8179.74
4,2013-10-16,1,orbit_10_dither_01_F125W.fits,F125W,10,20:40:40,8151.04
4,2013-10-16,3,orbit_10_dither_03_F125W.fits,F125W,10,20:46:49,8167.94
4,2013-10-16,5,orbit_10_dither_05_F125W.fits,F125W,10,20:52:58,8184.65
4,2013-10-16,7,orbit_10_dither_07_F125W.fits,F125W,10,20:59:07,8173.93
4,2013-10-16,9,orbit_10_dither_09_F125W.fits,F125W,10,21:05:16,8172.13
4,2013-10-16,11,orbit_10_dither_11_F125W.fits,F125W,10,21:11:25,8229.6
4,2013-10-16,13,orbit_10_dither_13_F125W.fits,F125W,10,21:17:34,8259.01
4,2013-10-16,1,orbit_11_dither_01_F125W.fits,F125W,11,22:16:17,8202.32
4,2013-10-16,3,orbit_11_dither_03_F125W.fits,F125W,11,22:22:26,8267.19
4,2013-10-16,5,orbit_11_dither_05_F125W.fits,F125W,11,22:28:35,8198.21
4,2013-10-16,7,orbit_11_dither_07_F125W.fits,F125W,11,22:34:44,8215.96
4,2013-10-16,9,orbit_11_dither_09_F125W.fits,F125W,11,22:40:53,8226.48
4,2013-10-16,11,orbit_11_dither_11_F125W.fits,F125W,11,22:47:02,8256.23
4,2013-10-16,13,orbit_11_dither_13_F125W.fits,F125W,11,22:53:11,8214.92
4,2013-10-16,1,orbit_12_dither_01_F125W.fits,F125W,12,23:51:55,8132.65
4,2013-10-16,3,orbit_12_dither_03_F125W.fits,F125W,12,23:58:04,8150.62
4,2013-10-17,5,orbit_12_dither_05_F125W.fits,F125W,12,00:04:13,8154.1
4,2013-10-17,7,orbit_12_dither_07_F125W.fits,F125W,12,00:10:22,8150.71
4,2013-10-17,9,orbit_12_dither_09_F125W.fits,F125W,12,00:16:31,8146.02
4,2013-10-17,11,orbit_12_dither_11_F125W.fits,F125W,12,00:22:40,8096.91
4,2013-10-17,13,orbit_12_dither_13_F125W.fits,F125W,12,00:28:49,8138.46
