FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM
icdg07p3q_flt.fits,F125W,7,101.0,0,0,2013-10-16,15:53:47,29.663755,0.0,0.0,94.78208923339844,208.07496643066406,174.0,0.9985800385475159,-0.19246943295001984,1.5192837715148926,8168.19189453125,21.416833877563477,1.3611619472503662,1.3733141422271729
icdg07p4q_flt.fits,F125W,7,101.0,0,0,2013-10-16,15:54:35,29.663755,0.00392913818359375,-0.037872314453125,94.77735900878906,208.0774383544922,186.0,0.9986900091171265,-0.17050623893737793,1.5904291868209839,8182.2294921875,21.83403968811035,1.368108868598938,1.3712846040725708
icdg07p5q_flt.fits,F125W,7,101.0,0,0,2013-10-16,15:55:23,29.663755,-0.0057373046875,-0.006011962890625,94.78044128417969,208.07388305664062,186.0,0.9991300106048584,-0.17716898024082184,1.5374070405960083,8234.8974609375,21.571491241455078,1.3559637069702148,1.3605296611785889
icdg07p6q_flt.fits,F125W,7,101.0,0,0,2013-10-16,15:56:11,29.663755,-0.0043487548828125,-0.032196044921875,94.76519775390625,208.0616455078125,186.0,0.9990200400352478,-0.17996881902217865,1.5736145973205566,8240.318359375,21.782060623168945,1.3743120431900024,1.373529314994812
icdg07p7q_flt.fits,F160W,7,101.0,0,1,2013-10-16,15:57:05,14.970785,0.0,0.0,94.66263580322266,208.22239685058594,101.0,0.9984700083732605,-0.19918203353881836,2.5829029083251953,8332.341796875,32.960914611816406,1.6105057001113892,1.5156590938568115
icdg07p8q_flt.fits,F160W,7,101.0,0,1,2013-10-16,15:57:38,14.970785,-0.0024261474609375,0.00199127197265625,94.66096496582031,208.2176513671875,98.0,0.9990200400352478,-0.18854308128356934,2.560965061187744,8436.521484375,32.930511474609375,1.623649001121521,1.5146136283874512
icdg07p9q_flt.fits,F160W,7,101.0,0,1,2013-10-16,15:58:11,14.970785,0.0070648193359375,0.004730224609375,94.65192413330078,208.22584533691406,100.0,0.9991300106048584,-0.19943976402282715,2.564749240875244,8375.943359375,32.89244079589844,1.6257429122924805,1.5215965509414673
icdg07paq_flt.fits,F160W,7,101.0,0,1,2013-10-16,15:58:44,14.970785,0.008636474609375,-0.00726318359375,94.65000915527344,208.2277069091797,111.0,0.9982500076293945,-0.18924041092395782,2.5023326873779297,8339.744140625,32.471160888671875,1.64192533493042,1.525544285774231
icdg07pbq_flt.fits,F160W,7,101.0,0,1,2013-10-16,15:59:17,14.970785,-0.006866455078125,0.006439208984375,94.65724182128906,208.225830078125,101.0,1.0004500150680542,-0.23255573213100433,2.5515036582946777,8303.6201171875,32.736820220947266,1.620328664779663,1.5297294855117798
icdg07pcq_flt.fits,F125W,7,101.0,1,2,2013-10-16,16:00:32,29.663755,10.117218017578125,-0.0610198974609375,104.8858642578125,208.0491485595703,96.0,0.9995700120925903,-0.17531415820121765,1.5363914966583252,8048.8359375,21.419828414916992,1.287050485610962,1.3341498374938965
